Model,Experiment,AUC,Accuracy
HeteroGNN,Regular,0.5817586668650498,0.7789473684210526
HeteroGNN,Medium,0.5923969647373902,0.7842105263157895
HeteroGNN2,Regular,0.5995387591132272,0.7842105263157895
HeteroGNN2,Medium,0.5995387591132272,0.7842105263157895
HeteroGNN3,Regular,0.5782621633685463,0.7736842105263158
HeteroGNN3,Medium,0.5782621633685463,0.7736842105263158
HeteroGNN4,Regular,0.5854039577443833,0.7736842105263158
HeteroGNN4,Medium,0.5854039577443833,0.7736842105263158
HeteroGNN5,Regular,0.627957149233745,0.7947368421052632
HeteroGNN5,Medium,0.627957149233745,0.7947368421052632
