test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
AAPL_2015-09-30,AAPL,2015-09-30,0,0,1,1,0
AAPL_2016-06-30,AAPL,2016-06-30,1,0,1,1,0
AAPL_2017-03-31,AAPL,2017-03-31,1,0,3,3,0
AAPL_2017-06-30,AAPL,2017-06-30,1,0,1,1,0
AAPL_2017-09-30,AAPL,2017-09-30,1,0,1,1,0
AAPL_2018-03-31,AAPL,2018-03-31,1,0,4,4,0
AAPL_2018-06-30,AAPL,2018-06-30,1,0,2,2,0
AAPL_2018-09-30,AAPL,2018-09-30,0,0,3,3,0
AAPL_2019-06-30,AAPL,2019-06-30,1,0,4,4,0
AAPL_2020-03-31,AAPL,2020-03-31,1,1,1,0,1
AAPL_2020-06-30,AAPL,2020-06-30,1,0,3,2,1
AAPL_2020-09-30,AAPL,2020-09-30,0,0,4,3,1
AAPL_2020-12-31,AAPL,2020-12-31,0,0,2,2,0
AAPL_2021-03-31,AAPL,2021-03-31,0,0,3,3,0
AAPL_2021-06-30,AAPL,2021-06-30,0,0,4,4,0
AAPL_2021-12-31,AAPL,2021-12-31,0,0,1,1,0
AAPL_2023-03-31,AAPL,2023-03-31,0,0,2,1,1
AAPL_2023-12-31,AAPL,2023-12-31,0,0,2,2,0
ACGL_2016-12-31,ACGL,2016-12-31,0,0,5,5,0
ACGL_2019-03-31,ACGL,2019-03-31,1,0,2,2,0
ACGL_2022-03-31,ACGL,2022-03-31,1,0,3,3,0
ACGL_2022-09-30,ACGL,2022-09-30,1,0,3,3,0
ACGL_2022-12-31,ACGL,2022-12-31,1,0,2,2,0
ACGL_2023-03-31,ACGL,2023-03-31,0,0,2,2,0
ACGL_2023-06-30,ACGL,2023-06-30,0,0,2,2,0
ACGL_2023-09-30,ACGL,2023-09-30,0,0,4,4,0
ACGL_2023-12-31,ACGL,2023-12-31,1,0,1,1,0
ACN_2015-09-30,ACN,2015-09-30,0,0,3,3,0
ACN_2015-12-31,ACN,2015-12-31,0,0,3,3,0
ACN_2016-03-31,ACN,2016-03-31,0,0,1,1,0
ACN_2016-12-31,ACN,2016-12-31,0,0,2,2,0
ACN_2017-03-31,ACN,2017-03-31,0,0,5,5,0
ACN_2017-09-30,ACN,2017-09-30,0,0,3,3,0
ACN_2017-12-31,ACN,2017-12-31,1,0,1,1,0
ACN_2018-03-31,ACN,2018-03-31,0,0,3,3,0
ACN_2018-06-30,ACN,2018-06-30,0,0,3,3,0
ACN_2018-09-30,ACN,2018-09-30,0,0,1,1,0
ACN_2018-12-31,ACN,2018-12-31,0,0,3,3,0
ACN_2019-03-31,ACN,2019-03-31,0,0,2,2,0
ACN_2020-03-31,ACN,2020-03-31,1,0,1,1,0
ACN_2020-06-30,ACN,2020-06-30,0,0,2,2,0
ACN_2020-12-31,ACN,2020-12-31,0,0,1,1,0
ACN_2021-03-31,ACN,2021-03-31,0,0,2,2,0
ACN_2021-06-30,ACN,2021-06-30,0,0,2,2,0
ACN_2021-12-31,ACN,2021-12-31,0,0,5,5,0
ACN_2022-03-31,ACN,2022-03-31,0,0,2,2,0
ACN_2022-06-30,ACN,2022-06-30,0,0,1,1,0
ACN_2022-09-30,ACN,2022-09-30,0,1,2,1,1
ACN_2022-12-31,ACN,2022-12-31,0,1,2,1,1
ACN_2023-03-31,ACN,2023-03-31,1,0,2,2,0
ACN_2023-06-30,ACN,2023-06-30,0,0,2,2,0
ACN_2023-09-30,ACN,2023-09-30,0,0,3,3,0
ADBE_2015-12-31,ADBE,2015-12-31,0,0,5,5,0
ADBE_2016-03-31,ADBE,2016-03-31,0,0,2,2,0
ADBE_2016-06-30,ADBE,2016-06-30,0,0,3,3,0
ADBE_2016-09-30,ADBE,2016-09-30,0,0,4,4,0
ADBE_2016-12-31,ADBE,2016-12-31,0,0,2,2,0
ADBE_2017-03-31,ADBE,2017-03-31,1,0,3,3,0
ADBE_2017-06-30,ADBE,2017-06-30,0,0,2,2,0
ADBE_2017-09-30,ADBE,2017-09-30,1,0,3,3,0
ADBE_2017-12-31,ADBE,2017-12-31,1,0,1,1,0
ADBE_2018-03-31,ADBE,2018-03-31,1,0,1,1,0
