test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
AAPL_2015-09-30,AAPL,2015-09-30,0,0,30,30,0
AAPL_2017-03-31,AAPL,2017-03-31,1,0,30,30,0
AAPL_2018-09-30,AAPL,2018-09-30,0,0,30,29,1
AAPL_2020-12-31,AAPL,2020-12-31,0,0,30,29,1
AAPL_2023-06-30,AAPL,2023-06-30,0,0,30,30,0
ACGL_2016-12-31,ACGL,2016-12-31,0,0,30,30,0
ACGL_2022-03-31,ACGL,2022-03-31,1,0,30,30,0
ACGL_2022-09-30,ACGL,2022-09-30,1,0,30,30,0
ACN_2015-12-31,ACN,2015-12-31,0,0,30,30,0
ACN_2016-12-31,ACN,2016-12-31,0,0,30,30,0
ACN_2018-06-30,ACN,2018-06-30,0,0,30,30,0
ACN_2018-12-31,ACN,2018-12-31,0,0,30,30,0
ACN_2021-03-31,ACN,2021-03-31,0,0,30,30,0
ACN_2022-03-31,ACN,2022-03-31,0,0,30,30,0
ACN_2022-06-30,ACN,2022-06-30,0,0,30,30,0
ACN_2022-09-30,ACN,2022-09-30,0,0,30,30,0
ADBE_2015-12-31,ADBE,2015-12-31,0,0,30,30,0
ADBE_2020-12-31,ADBE,2020-12-31,0,0,30,30,0
ADBE_2022-12-31,ADBE,2022-12-31,0,0,30,30,0
ADBE_2023-03-31,ADBE,2023-03-31,0,0,30,30,0
ADBE_2023-12-31,ADBE,2023-12-31,0,0,30,30,0
ADI_2017-12-31,ADI,2017-12-31,0,0,30,27,3
ADI_2020-09-30,ADI,2020-09-30,1,0,30,30,0
AFL_2017-12-31,AFL,2017-12-31,1,0,30,30,0
AFL_2023-03-31,AFL,2023-03-31,0,0,30,30,0
AIG_2017-03-31,AIG,2017-03-31,0,0,30,30,0
AIG_2022-06-30,AIG,2022-06-30,0,0,30,30,0
AIG_2023-09-30,AIG,2023-09-30,0,0,30,30,0
ALL_2018-03-31,ALL,2018-03-31,0,0,30,30,0
ALL_2023-12-31,ALL,2023-12-31,0,0,30,30,0
AMAT_2017-06-30,AMAT,2017-06-30,0,0,30,30,0
AMAT_2023-03-31,AMAT,2023-03-31,1,0,30,28,2
AMD_2017-12-31,AMD,2017-12-31,0,0,30,30,0
AMD_2018-03-31,AMD,2018-03-31,1,1,30,7,23
AMD_2021-12-31,AMD,2021-12-31,0,0,30,30,0
AMD_2023-06-30,AMD,2023-06-30,0,0,30,27,3
AMD_2023-09-30,AMD,2023-09-30,1,1,30,0,30
AMZN_2016-03-31,AMZN,2016-03-31,1,0,30,30,0
AMZN_2019-12-31,AMZN,2019-12-31,1,0,30,30,0
AMZN_2023-06-30,AMZN,2023-06-30,1,0,30,30,0
AON_2017-09-30,AON,2017-09-30,0,0,30,30,0
AON_2023-09-30,AON,2023-09-30,0,0,30,30,0
APTV_2023-09-30,APTV,2023-09-30,0,0,30,25,5
AXP_2016-06-30,AXP,2016-06-30,0,0,30,30,0
BAC_2017-06-30,BAC,2017-06-30,0,0,30,30,0
BAC_2019-09-30,BAC,2019-09-30,0,0,30,30,0
BAC_2021-12-31,BAC,2021-12-31,0,0,30,30,0
BAC_2023-03-31,BAC,2023-03-31,0,0,30,30,0
BEN_2023-06-30,BEN,2023-06-30,0,0,30,30,0
BEN_2023-12-31,BEN,2023-12-31,0,0,30,30,0
BK_2020-09-30,BK,2020-09-30,0,1,30,2,28
BRO_2023-06-30,BRO,2023-06-30,1,0,30,30,0
BRO_2023-12-31,BRO,2023-12-31,1,0,30,27,3
BX_2018-03-31,BX,2018-03-31,0,0,30,30,0
BX_2021-12-31,BX,2021-12-31,1,0,30,30,0
BX_2022-12-31,BX,2022-12-31,0,0,30,30,0
CBOE_2022-03-31,CBOE,2022-03-31,0,0,30,30,0
CCL_2020-09-30,CCL,2020-09-30,1,1,30,0,30
CCL_2023-09-30,CCL,2023-09-30,1,0,30,27,3
CDNS_2023-03-31,CDNS,2023-03-31,0,0,30,30,0
CINF_2022-09-30,CINF,2022-09-30,0,0,30,30,0
CME_2016-12-31,CME,2016-12-31,0,0,30,30,0
CME_2017-03-31,CME,2017-03-31,0,0,30,30,0
CME_2019-03-31,CME,2019-03-31,1,0,30,30,0
CMG_2015-12-31,CMG,2015-12-31,1,0,30,27,3
CMG_2019-12-31,CMG,2019-12-31,0,1,30,14,16
CMG_2023-12-31,CMG,2023-12-31,1,0,30,30,0
CRM_2016-12-31,CRM,2016-12-31,0,0,30,30,0
CSCO_2015-09-30,CSCO,2015-09-30,0,0,30,30,0
CSCO_2016-03-31,CSCO,2016-03-31,0,0,30,30,0
CSCO_2019-12-31,CSCO,2019-12-31,0,0,30,30,0
CSCO_2023-12-31,CSCO,2023-12-31,0,0,30,30,0
CTSH_2017-09-30,CTSH,2017-09-30,0,0,30,30,0
CTSH_2023-03-31,CTSH,2023-03-31,1,0,30,30,0
C_2018-06-30,C,2018-06-30,0,0,30,30,0
C_2018-09-30,C,2018-09-30,0,0,30,30,0
C_2019-09-30,C,2019-09-30,0,0,30,30,0
C_2021-12-31,C,2021-12-31,0,0,30,30,0
C_2023-09-30,C,2023-09-30,1,0,30,27,3
DHI_2020-12-31,DHI,2020-12-31,0,0,30,24,6
DPZ_2017-06-30,DPZ,2017-06-30,0,0,30,30,0
DPZ_2021-06-30,DPZ,2021-06-30,0,0,30,30,0
DPZ_2023-09-30,DPZ,2023-09-30,0,1,30,7,23
DRI_2016-03-31,DRI,2016-03-31,0,0,30,30,0
DRI_2020-06-30,DRI,2020-06-30,0,0,30,30,0
EBAY_2018-09-30,EBAY,2018-09-30,0,0,30,30,0
EBAY_2018-12-31,EBAY,2018-12-31,1,0,30,30,0
EBAY_2019-09-30,EBAY,2019-09-30,0,0,30,30,0
EBAY_2019-12-31,EBAY,2019-12-31,1,0,30,30,0
EBAY_2020-12-31,EBAY,2020-12-31,0,0,30,27,3
EBAY_2022-09-30,EBAY,2022-09-30,1,0,30,27,3
EXPE_2021-12-31,EXPE,2021-12-31,1,0,30,30,0
FIS_2023-03-31,FIS,2023-03-31,0,0,30,30,0
FITB_2017-03-31,FITB,2017-03-31,0,0,30,30,0
FITB_2023-12-31,FITB,2023-12-31,0,0,30,30,0
FSLR_2016-03-31,FSLR,2016-03-31,0,0,30,30,0
FSLR_2016-06-30,FSLR,2016-06-30,0,0,30,30,0
FTNT_2018-06-30,FTNT,2018-06-30,1,0,30,30,0
F_2017-09-30,F,2017-09-30,0,0,30,30,0
F_2022-09-30,F,2022-09-30,1,0,30,22,8
GLW_2017-06-30,GLW,2017-06-30,0,0,30,30,0
GLW_2017-09-30,GLW,2017-09-30,0,0,30,30,0
GM_2017-12-31,GM,2017-12-31,0,0,30,30,0
GM_2022-09-30,GM,2022-09-30,0,0,30,19,11
