test_case,Ticker,Reported_Date,Actual_Label,Aggregated_Predicted_Label,Num_Models,Vote_Count_0,Vote_Count_1
AAPL_2017-09-30,AAPL,2017-09-30,1,0,39,39,0
AAPL_2021-12-31,AAPL,2021-12-31,0,0,39,39,0
AAPL_2023-12-31,AAPL,2023-12-31,0,0,39,39,0
ACGL_2022-09-30,ACGL,2022-09-30,1,0,39,39,0
ACGL_2023-06-30,ACGL,2023-06-30,0,0,39,39,0
ACN_2017-12-31,ACN,2017-12-31,1,0,39,39,0
ACN_2018-09-30,ACN,2018-09-30,0,0,39,39,0
ADBE_2016-09-30,ADBE,2016-09-30,0,0,39,39,0
ADBE_2017-06-30,ADBE,2017-06-30,0,0,39,39,0
ADBE_2021-06-30,ADBE,2021-06-30,0,0,39,39,0
ADBE_2021-09-30,ADBE,2021-09-30,0,0,39,37,2
ADI_2018-03-31,ADI,2018-03-31,1,0,39,34,5
ADI_2021-06-30,ADI,2021-06-30,0,0,39,39,0
ADI_2021-09-30,ADI,2021-09-30,0,0,39,39,0
ADI_2022-06-30,ADI,2022-06-30,0,0,39,35,4
ADSK_2018-12-31,ADSK,2018-12-31,1,0,39,37,2
ADSK_2022-03-31,ADSK,2022-03-31,1,0,39,39,0
AFL_2018-03-31,AFL,2018-03-31,0,0,39,39,0
AFL_2022-12-31,AFL,2022-12-31,0,0,39,39,0
AIG_2017-03-31,AIG,2017-03-31,0,0,39,39,0
AIG_2021-09-30,AIG,2021-09-30,0,0,39,39,0
AIG_2022-03-31,AIG,2022-03-31,0,0,39,39,0
AIG_2022-06-30,AIG,2022-06-30,0,0,39,39,0
AIZ_2023-06-30,AIZ,2023-06-30,1,0,39,38,1
AKAM_2019-03-31,AKAM,2019-03-31,0,0,39,39,0
AKAM_2023-12-31,AKAM,2023-12-31,0,0,39,39,0
ALL_2017-09-30,ALL,2017-09-30,1,0,39,39,0
ALL_2023-09-30,ALL,2023-09-30,0,0,39,38,1
AMAT_2016-06-30,AMAT,2016-06-30,1,0,39,37,2
AMAT_2017-06-30,AMAT,2017-06-30,0,0,39,38,1
AMAT_2018-09-30,AMAT,2018-09-30,1,0,39,39,0
AMAT_2019-03-31,AMAT,2019-03-31,0,0,39,31,8
AMAT_2022-09-30,AMAT,2022-09-30,1,1,39,16,23
AMAT_2023-09-30,AMAT,2023-09-30,1,1,39,10,29
AMD_2016-12-31,AMD,2016-12-31,1,0,39,28,11
AMD_2018-06-30,AMD,2018-06-30,1,0,39,27,12
AMD_2020-12-31,AMD,2020-12-31,0,0,39,26,13
