Baseline,Experiment,AUC,Accuracy
Eps Only,All Data,0.6722210749663249,0.47843070652173914
Eps Only,Positive Eps Only,0.5,0.28069353327085284
Sentiment,All Data,0.641742132092376,0.541610054347826
Sentiment,Positive Eps Only,0.5030702636859479,0.36785379568884724
Sentiment,Threshold 0 2,0.6104750510973547,0.5847486413043478
Weighted Sentiment,All Data,0.6336988010375462,0.5485733695652174
Weighted Sentiment,Positive Eps Only,0.4995679552783412,0.3774601686972821
Weighted Sentiment,Threshold 0 1 Positive Eps Only,0.49364249862691895,0.39456419868791004
Neural Net,All Data,0.5522210376687988,0.7707979626485568
Neural Net,Positive Eps Only,0.541571661237785,0.5269320843091335
