Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,quarterly_raw_eps,quarterly_diluted_eps,annual_raw_eps,annual_diluted_eps
APH,10-Q (Quarterly report),2024-10-25,2024-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837024013696/aph-20240930x10q.htm,0001558370-24-013696,APH/0001558370-24-013696,0.5,0.48,,
APH,10-Q (Quarterly report),2024-07-26,2024-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837024010246/aph-20240630x10q.htm,0001558370-24-010246,APH/0001558370-24-010246,0.44,0.41,,
APH,10-Q (Quarterly report),2024-04-26,2024-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837024005928/aph-20240331x10q.htm,0001558370-24-005928,APH/0001558370-24-005928,0.91,0.87,,
APH,10-Q (Quarterly report),2023-10-27,2023-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837023016952/aph-20230930x10q.htm,0001558370-23-016952,APH/0001558370-23-016952,0.86,0.83,,
APH,10-Q (Quarterly report),2023-07-28,2023-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837023012484/aph-20230630x10q.htm,0001558370-23-012484,APH/0001558370-23-012484,0.77,0.74,,
APH,10-Q (Quarterly report),2023-04-28,2023-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837023007328/aph-20230331x10q.htm,0001558370-23-007328,APH/0001558370-23-007328,0.74,0.71,,
APH,10-Q (Quarterly report),2022-10-28,2022-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837022015585/aph-20220930x10q.htm,0001558370-22-015585,APH/0001558370-22-015585,0.83,0.8,,
APH,10-Q (Quarterly report),2022-07-29,2022-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837022011379/aph-20220630x10q.htm,0001558370-22-011379,APH/0001558370-22-011379,0.79,0.76,,
APH,10-Q (Quarterly report),2022-04-29,2022-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837022006502/aph-20220331x10q.htm,0001558370-22-006502,APH/0001558370-22-006502,0.71,0.68,,
APH,10-Q (Quarterly report),2021-10-29,2021-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837021013825/aph-20210930x10q.htm,0001558370-21-013825,APH/0001558370-21-013825,0.71,0.68,,
APH,10-Q (Quarterly report),2021-07-30,2021-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837021009700/aph-20210630x10q.htm,0001558370-21-009700,APH/0001558370-21-009700,0.62,0.59,,
APH,10-Q (Quarterly report),2021-04-30,2021-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837021005338/aph-20210331x10q.htm,0001558370-21-005338,APH/0001558370-21-005338,0.55,0.53,,
APH,10-Q (Quarterly report),2020-10-23,2020-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837020011694/aph-20200930x10q.htm,0001558370-20-011694,APH/0001558370-20-011694,1.16,1.12,,
APH,10-Q (Quarterly report),2020-07-24,2020-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837020008390/aph-20200630x10q.htm,0001558370-20-008390,APH/0001558370-20-008390,0.87,0.85,,
APH,10-Q (Quarterly report),2020-04-24,2020-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837020004300/aph-20200424x10q.htm,0001558370-20-004300,APH/0001558370-20-004300,0.81,0.79,,
APH,10-Q (Quarterly report),2019-10-25,2019-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837019009160/aph-20190930x10q.htm,0001558370-19-009160,APH/0001558370-19-009160,0.95,0.92,,
APH,10-Q (Quarterly report),2019-07-26,2019-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837019006415/aph-20190630x10q.htm,0001558370-19-006415,APH/0001558370-19-006415,0.97,0.93,,
APH,10-Q (Quarterly report),2019-04-26,2019-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837019003426/aph-20190331x10q.htm,0001558370-19-003426,APH/0001558370-19-003426,0.9,0.87,,
APH,10-Q (Quarterly report),2018-10-26,2018-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837018007927/aph-20180930x10q.htm,0001558370-18-007927,APH/0001558370-18-007927,1.05,1.01,,
APH,10-Q (Quarterly report),2018-07-31,2018-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837018005948/aph-20180630x10q.htm,0001558370-18-005948,APH/0001558370-18-005948,0.95,0.91,,
