Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,annual_raw_eps,annual_diluted_eps
APH,10-K (Annual report),2024-02-07,2023-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837024000866/aph-20231231x10k.htm,0001558370-24-000866,APH/0001558370-24-000866,3.23,3.11
APH,10-K (Annual report),2023-02-08,2022-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837023001036/aph-20221231x10k.htm,0001558370-23-001036,APH/0001558370-23-001036,3.19,3.06
APH,10-K (Annual report),2022-02-09,2021-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837022000961/aph-20211231x10k.htm,0001558370-22-000961,APH/0001558370-22-000961,2.66,2.54
APH,10-K (Annual report),2021-02-10,2020-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837021000881/aph-20201231x10k.htm,0001558370-21-000881,APH/0001558370-21-000881,4.04,3.91
APH,10-K (Annual report),2020-02-12,2019-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/aph-20191231x10k7e830b.htm,0001558370-20-000728,APH/0001558370-20-000728,3.88,3.75
APH,10-K (Annual report),2019-02-13,2018-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837019000636/aph-20181231x10k.htm,0001558370-19-000636,APH/0001558370-19-000636,4.0,3.85
APH,10-K (Annual report),2018-02-21,2017-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837018000871/aph-20171231x10k.htm,0001558370-18-000871,APH/0001558370-18-000871,2.13,2.06
APH,10-K (Annual report),2017-02-17,2016-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837017000659/aph-20161231x10k.htm,0001558370-17-000659,APH/0001558370-17-000659,2.67,2.61
APH,10-K (Annual report),2016-02-19,2015-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465916098503/a15-23486_110k.htm,0001104659-16-098503,APH/0001104659-16-098503,2.47,2.41
APH,10-K (Annual report),2015-02-20,2014-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/a14-25561_110k.htm,0001104659-15-012575,APH/0001104659-15-012575,2.26,2.21
APH,10-K (Annual report),2014-02-21,2013-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465914012225/a13-24862_110k.htm,0001104659-14-012225,APH/0001104659-14-012225,4.0,3.92
APH,10-K (Annual report),2013-02-22,2012-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/a12-28965_110k.htm,0001104659-13-013180,APH/0001104659-13-013180,3.44,3.39
APH,10-K (Annual report),2012-02-24,2011-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465912012448/a12-1044_110k.htm,0001104659-12-012448,APH/0001104659-12-012448,3.09,3.05
RCL,10-K (Annual report),2024-02-21,2023-12-31,https://www.sec.gov/Archives/edgar/data/884887/000088488724000075/rcl-20231231.htm,0000884887-24-000075,RCL/0000884887-24-000075,6.63,6.31
RCL,10-K (Annual report),2023-02-23,2022-12-31,https://www.sec.gov/Archives/edgar/data/884887/000088488723000006/rcl-20221231.htm,0000884887-23-000006,RCL/0000884887-23-000006,-8.45,-8.45
RCL,10-K (Annual report),2022-03-01,2021-12-31,https://www.sec.gov/Archives/edgar/data/884887/000088488722000008/rcl-20211231.htm,0000884887-22-000008,RCL/0000884887-22-000008,-20.89,-20.89
RCL,10-K (Annual report),2021-02-26,2020-12-31,https://www.sec.gov/Archives/edgar/data/884887/000088488721000006/rcl-20201231.htm,0000884887-21-000006,RCL/0000884887-21-000006,-27.05,-27.05
RCL,10-K (Annual report),2020-02-25,2019-12-31,https://www.sec.gov/Archives/edgar/data/884887/000088488720000009/rcl-20191231.htm,0000884887-20-000009,RCL/0000884887-20-000009,8.97,8.95
RCL,10-K (Annual report),2019-02-22,2018-12-31,https://www.sec.gov/Archives/edgar/data/884887/000088488719000017/rcl-20181231x10k.htm,0000884887-19-000017,RCL/0000884887-19-000017,8.6,8.56
