symbol,freq,period,year,quarter,epsAvg,epsHigh,epsLow,numberAnalysts
ACN,quarterly,2024-09-30,2024,4,2.809113,3.0345,2.6655999999999995,22
ACN,quarterly,2024-06-30,2024,3,3.1821059999999997,3.423,2.9988,22
ACN,quarterly,2024-03-31,2024,2,2.6892967,2.94,2.4597999999999995,22
ACN,quarterly,2023-12-31,2024,1,3.1751167999999996,3.3705000000000003,2.9204,20
ACN,quarterly,2023-09-30,2023,4,2.6833175000000002,3.1185000000000005,2.5284,22
ACN,quarterly,2023-06-30,2023,3,3.068885,3.4020000000000006,2.842,22
ACN,quarterly,2023-03-31,2023,2,2.5228386,2.8644000000000003,2.2834,23
ACN,quarterly,2022-12-31,2023,1,2.9410695000000002,3.1500000000000004,2.5872,22
ACN,quarterly,2022-09-30,2022,4,2.5963363,2.7615,2.4597999999999995,21
ACN,quarterly,2022-06-30,2022,3,2.8777828999999997,3.1710000000000003,2.6068,22
ACN,quarterly,2022-03-31,2022,2,2.3942756999999997,2.7195,2.1952,23
ACN,quarterly,2021-12-31,2022,1,2.6538760000000003,2.8455,2.44118,22
ACN,quarterly,2021-09-30,2021,4,2.2121524999999997,2.4045,2.058,21
ACN,quarterly,2021-06-30,2021,3,2.2552391,2.415,2.0873999999999997,23
ACN,quarterly,2021-03-31,2021,2,1.9167174000000002,2.1420000000000003,1.7248,24
ACN,quarterly,2020-12-31,2021,1,2.0743077000000003,2.3310000000000004,1.8914000000000002,23
ACN,quarterly,2020-09-30,2020,4,1.7500573,1.8689999999999998,1.6562,23
ACN,quarterly,2020-06-30,2020,3,1.8645912999999998,2.0999999999999996,1.6659999999999997,25
ACN,quarterly,2020-03-31,2020,2,1.7392705000000002,1.8690000000000002,1.6366,23
ACN,quarterly,2019-12-31,2020,1,2.0152025,2.1630000000000003,1.911,22
ACN,quarterly,2019-09-30,2019,4,1.7309077,1.827,1.6463999999999999,24
ACN,quarterly,2019-06-30,2019,3,1.9106978000000001,2.1315000000000004,1.813,24
ACN,quarterly,2019-03-31,2019,2,1.5829326000000001,1.7220000000000002,1.4896,24
ACN,quarterly,2018-12-31,2019,1,1.8769335,2.0475,1.7738,24
ACN,quarterly,2018-09-30,2018,4,1.5709640999999999,1.7115,1.47,23
ACN,quarterly,2018-06-30,2018,3,1.7369070999999998,1.8479999999999999,1.6267999999999998,27
ACN,quarterly,2018-03-31,2018,2,1.5025164000000002,1.6065,1.421,26
ACN,quarterly,2017-12-31,2018,1,1.6826196,1.77765,1.5777999999999999,27
ACN,quarterly,2017-09-30,2017,4,1.4797308,1.5750000000000002,1.4014,27
ACN,quarterly,2017-06-30,2017,3,1.5348869,1.6296000000000002,1.421,27
ACN,quarterly,2017-03-31,2017,2,1.3120607000000002,1.4070000000000003,1.2446000000000002,29
ACN,quarterly,2016-12-31,2017,1,1.5074654,1.6128,1.4307999999999998,28
ACN,quarterly,2016-09-30,2016,4,1.3123232999999999,1.3881,1.2543999999999997,28
ACN,quarterly,2016-06-30,2016,3,1.421575,1.5225,1.323,26
ACN,quarterly,2016-03-31,2016,2,1.1955572,1.2705000000000002,1.127,26
