symbol,period,year,quarter,actual,estimate,surprise,surprisePercent
ACN,2024-09-30,2024,4,2.79,2.8091,-0.0191,-0.6799
ACN,2024-06-30,2024,3,3.13,3.1821,-0.0521,-1.6373
ACN,2024-03-31,2024,2,2.77,2.6893,0.0807,3.0008
ACN,2023-12-31,2024,1,3.27,3.1751,0.0949,2.9889
ACN,2023-09-30,2023,4,2.71,2.6833,0.0267,0.995
ACN,2023-06-30,2023,3,3.19,3.0689,0.1211,3.946
ACN,2023-03-31,2023,2,2.69,2.5228,0.1672,6.6276
ACN,2022-12-31,2023,1,3.08,2.9411,0.1389,4.7227
ACN,2022-09-30,2022,4,2.6,2.5963,0.0037,0.1425
ACN,2022-06-30,2022,3,2.94,2.8778,0.0622,2.1614
ACN,2022-03-31,2022,2,2.54,2.3943,0.1457,6.0853
ACN,2021-12-31,2022,1,2.78,2.6539,0.1261,4.7515
ACN,2021-09-30,2021,4,2.2,2.2122,-0.0122,-0.5515
ACN,2021-06-30,2021,3,2.4,2.2552,0.1448,6.4207
ACN,2021-03-31,2021,2,2.03,1.9167,0.1133,5.9112
ACN,2020-12-31,2021,1,2.32,2.0743,0.2457,11.845
ACN,2020-09-30,2020,4,1.7,1.7501,-0.0501,-2.8627
ACN,2020-06-30,2020,3,1.9,1.8646,0.0354,1.8985
ACN,2020-03-31,2020,2,1.91,1.7393,0.1707,9.8143
ACN,2019-12-31,2020,1,2.09,2.0152,0.0748,3.7118
ACN,2019-09-30,2019,4,1.74,1.7309,0.0091,0.5257
ACN,2019-06-30,2019,3,1.93,1.9107,0.0193,1.0101
ACN,2019-03-31,2019,2,1.73,1.5829,0.1471,9.2931
ACN,2018-12-31,2019,1,1.96,1.8769,0.0831,4.4275
ACN,2018-09-30,2018,4,1.58,1.571,0.009,0.5729
ACN,2018-06-30,2018,3,1.79,1.7369,0.0531,3.0572
ACN,2018-03-31,2018,2,1.58,1.5025,0.0775,5.1581
ACN,2017-12-31,2018,1,1.79,1.6826,0.1074,6.383
ACN,2017-09-30,2017,4,1.48,1.4797,0.0003,0.0203
ACN,2017-06-30,2017,3,1.52,1.5349,-0.0149,-0.9707
ACN,2017-03-31,2017,2,1.33,1.3121,0.0179,1.3642
ACN,2016-12-31,2017,1,1.58,1.5075,0.0725,4.8093
ACN,2016-09-30,2016,4,1.31,1.3123,-0.0023,-0.1753
ACN,2016-06-30,2016,3,1.41,1.4216,-0.0116,-0.816
ACN,2016-03-31,2016,2,1.34,1.1956,0.1444,12.0776
ACN,2015-12-31,2016,1,1.35,1.3312,0.0188,1.4123
ACN,2015-09-30,2015,4,1.15,1.1297,0.0203,1.7969
ADBE,2024-12-31,2024,4,4.81,4.7553,0.0547,1.1503
ADBE,2024-09-30,2024,3,4.65,4.6194,0.0306,0.6624
ADBE,2024-06-30,2024,2,4.48,4.4772,0.0028,0.0625
ADBE,2024-03-31,2024,1,4.48,4.467,0.013,0.291
ADBE,2023-12-31,2023,4,4.27,4.2199,0.0501,1.1872
ADBE,2023-09-30,2023,3,4.09,4.0584,0.0316,0.7786
ADBE,2023-06-30,2023,2,3.91,3.8625,0.0475,1.2298
ADBE,2023-03-31,2023,1,3.8,3.7541,0.0459,1.2227
ADBE,2022-12-31,2022,4,3.6,3.5731,0.0269,0.7528
ADBE,2022-09-30,2022,3,3.4,3.4005,-0.0005,-0.0147
ADBE,2022-06-30,2022,2,3.35,3.3754,-0.0254,-0.7525
ADBE,2022-03-31,2022,1,3.37,3.4104,-0.0404,-1.1846
