Ticker,Form Type,Filed Date,Reporting Date,URL,Accession Number,Query,quarterly_raw_eps,quarterly_diluted_eps,annual_raw_eps,annual_diluted_eps
APH,10-Q (Quarterly report),2024-10-25,2024-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837024013696/aph-20240930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2024-07-26,2024-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837024010246/aph-20240630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2024-04-26,2024-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837024005928/aph-20240331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2023-10-27,2023-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837023016952/aph-20230930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2023-07-28,2023-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837023012484/aph-20230630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2023-04-28,2023-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837023007328/aph-20230331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2022-10-28,2022-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837022015585/aph-20220930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2022-07-29,2022-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837022011379/aph-20220630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2022-04-29,2022-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837022006502/aph-20220331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2021-10-29,2021-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837021013825/aph-20210930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2021-07-30,2021-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837021009700/aph-20210630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2021-04-30,2021-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837021005338/aph-20210331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2020-10-23,2020-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837020011694/aph-20200930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2020-07-24,2020-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837020008390/aph-20200630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2020-04-24,2020-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837020004300/aph-20200424x10q.htm,,,,,,
APH,10-Q (Quarterly report),2019-10-25,2019-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837019009160/aph-20190930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2019-07-26,2019-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837019006415/aph-20190630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2019-04-26,2019-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837019003426/aph-20190331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2018-10-26,2018-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837018007927/aph-20180930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2018-07-31,2018-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837018005948/aph-20180630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2018-05-03,2018-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837018003892/aph-20180331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2017-11-02,2017-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837017007980/aph-20170930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2017-08-03,2017-06-30,https://www.sec.gov/Archives/edgar/data/820313/000155837017005866/aph-20170630x10q.htm,,,,,,
APH,10-Q (Quarterly report),2017-05-04,2017-03-31,https://www.sec.gov/Archives/edgar/data/820313/000155837017003547/aph-20170331x10q.htm,,,,,,
APH,10-Q (Quarterly report),2016-11-03,2016-09-30,https://www.sec.gov/Archives/edgar/data/820313/000155837016009170/aph-20160930x10q.htm,,,,,,
APH,10-Q (Quarterly report),2016-08-04,2016-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465916136887/a16-11647_110q.htm,,,,,,
APH,10-Q (Quarterly report),2016-05-05,2016-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465916118327/a16-6550_110q.htm,,,,,,
APH,10-Q (Quarterly report),2015-11-05,2015-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465915076130/a15-17907_110q.htm,,,,,,
APH,10-Q (Quarterly report),2015-08-07,2015-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465915057512/a15-11991_110q.htm,,,,,,
APH,10-Q (Quarterly report),2015-05-08,2015-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465915036125/a15-7228_110q.htm,,,,,,
APH,10-Q (Quarterly report),2014-11-05,2014-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465914076813/a14-19652_110q.htm,,,,,,
APH,10-Q (Quarterly report),2014-08-06,2014-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465914057288/a14-13902_110q.htm,,,,,,
APH,10-Q (Quarterly report),2014-05-07,2014-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465914035493/a14-8715_110q.htm,,,,,,
APH,10-Q (Quarterly report),2013-11-01,2013-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465913079916/a13-19632_110q.htm,,,,,,
APH,10-Q (Quarterly report),2013-08-02,2013-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465913059242/a13-13753_110q.htm,,,,,,
APH,10-Q (Quarterly report),2013-05-03,2013-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465913037040/a13-8433_110q.htm,,,,,,
APH,10-Q (Quarterly report),2012-11-02,2012-09-30,https://www.sec.gov/Archives/edgar/data/820313/000110465912073553/a12-19909_110q.htm,,,,,,
APH,10-Q (Quarterly report),2012-08-03,2012-06-30,https://www.sec.gov/Archives/edgar/data/820313/000110465912054022/a12-13710_110q.htm,,,,,,
APH,10-Q (Quarterly report),2012-05-04,2012-03-31,https://www.sec.gov/Archives/edgar/data/820313/000110465912032999/a12-7581_110q.htm,,,,,,
APH,10-K (Annual report),2024-02-07,2023-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837024000866/aph-20231231x10k.htm,,,,,,
APH,10-K (Annual report),2023-02-08,2022-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837023001036/aph-20221231x10k.htm,,,,,,
APH,10-K (Annual report),2022-02-09,2021-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837022000961/aph-20211231x10k.htm,,,,,,
APH,10-K (Annual report),2021-02-10,2020-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837021000881/aph-20201231x10k.htm,,,,,,
APH,10-K (Annual report),2020-02-12,2019-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837020000728/aph-20191231x10k7e830b.htm,,,,,,
APH,10-K (Annual report),2019-02-13,2018-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837019000636/aph-20181231x10k.htm,,,,,,
APH,10-K (Annual report),2018-02-21,2017-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837018000871/aph-20171231x10k.htm,,,,,,
APH,10-K (Annual report),2017-02-17,2016-12-31,https://www.sec.gov/Archives/edgar/data/820313/000155837017000659/aph-20161231x10k.htm,,,,,,
APH,10-K (Annual report),2016-02-19,2015-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465916098503/a15-23486_110k.htm,,,,,,
APH,10-K (Annual report),2015-02-20,2014-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465915012575/a14-25561_110k.htm,,,,,,
APH,10-K (Annual report),2014-02-21,2013-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465914012225/a13-24862_110k.htm,,,,,,
APH,10-K (Annual report),2013-02-22,2012-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465913013180/a12-28965_110k.htm,,,,,,
APH,10-K (Annual report),2012-02-24,2011-12-31,https://www.sec.gov/Archives/edgar/data/820313/000110465912012448/a12-1044_110k.htm,,,,,,
RCL,10-Q (Quarterly report),2024-10-29,2024-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488724000147/rcl-20240930.htm,,,,,,
RCL,10-Q (Quarterly report),2024-07-25,2024-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488724000130/rcl-20240630.htm,,,,,,
RCL,10-Q (Quarterly report),2024-04-25,2024-03-31,https://www.sec.gov/Archives/edgar/data/884887/000088488724000108/rcl-20240331.htm,,,,,,
RCL,10-Q (Quarterly report),2023-10-26,2023-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488723000056/rcl-20230930.htm,,,,,,
RCL,10-Q (Quarterly report),2023-07-27,2023-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488723000044/rcl-20230630.htm,,,,,,
RCL,10-Q (Quarterly report),2023-05-04,2023-03-31,https://www.sec.gov/Archives/edgar/data/884887/000088488723000018/rcl-20230331.htm,,,,,,
RCL,10-Q (Quarterly report),2022-11-03,2022-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488722000038/rcl-20220930.htm,,,,,,
RCL,10-Q (Quarterly report),2022-07-29,2022-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488722000028/rcl-20220630.htm,,,,,,
RCL,10-Q (Quarterly report),2022-05-05,2022-03-31,https://www.sec.gov/Archives/edgar/data/884887/000088488722000018/rcl-20220331.htm,,,,,,
RCL,10-Q (Quarterly report),2021-10-29,2021-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488721000028/rcl-20210930.htm,,,,,,
RCL,10-Q (Quarterly report),2021-08-05,2021-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488721000018/rcl-20210630.htm,,,,,,
RCL,10-Q (Quarterly report),2021-04-29,2021-03-31,https://www.sec.gov/Archives/edgar/data/884887/000088488721000011/rcl-20210331.htm,,,,,,
RCL,10-Q (Quarterly report),2020-11-04,2020-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488720000049/rcl-20200930.htm,,,,,,
RCL,10-Q (Quarterly report),2020-08-10,2020-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488720000037/rcl-20200630.htm,,,,,,
RCL,10-Q (Quarterly report),2020-05-21,2020-03-31,https://www.sec.gov/Archives/edgar/data/884887/000088488720000029/rcl-20200331.htm,,,,,,
RCL,10-Q (Quarterly report),2019-10-30,2019-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488719000046/a2019q310q.htm,,,,,,
RCL,10-Q (Quarterly report),2019-07-26,2019-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488719000042/a2019q210q.htm,,,,,,
RCL,10-Q (Quarterly report),2019-05-02,2019-03-31,https://www.sec.gov/Archives/edgar/data/884887/000088488719000023/final2019q110q.htm,,,,,,
RCL,10-Q (Quarterly report),2018-10-26,2018-09-30,https://www.sec.gov/Archives/edgar/data/884887/000088488718000086/a2018q310q.htm,,,,,,
RCL,10-Q (Quarterly report),2018-08-02,2018-06-30,https://www.sec.gov/Archives/edgar/data/884887/000088488718000079/rcl-6302018x10q.htm,,,,,,
