Ticker,Reported_Date,Actual_Label,Probability,Predicted_Label,fact_ids
SBUX,2020-09-30,1.0,0.37602338,0,"[167916, 151634, 120983, 151618, 151581, 151579, 151580, 151575, 151567, 82249, 82255, 151556, 82215, 82226, 82231, 82234, 82223, 82244, 82275, 82238, 82262, 82269, 82276, 151564, 190289, 151550, 151542, 151543, 181740, 33998, 167769, 167771, 167782, 167795, 167801, 167778, 281338, 115222, 181694, 151497]"
DPZ,2021-06-30,0.0,0.40980363,0,"[181506, 181503, 181492, 181494, 181493, 181496, 181498, 181499, 181495, 181491, 181490, 181489, 181488, 181483, 181480, 181477, 181473, 151094, 181472, 181462, 181460, 181463, 106863, 181459, 181458, 181457, 181453, 151034, 181456, 181454, 181455, 181452, 181450, 181448, 181447, 181444, 181438, 33314, 181442, 181440, 181437, 181436, 181428, 181427]"
NVDA,2023-06-30,0.0,0.4061908,0,"[11276, 100337, 73729, 11264, 11272, 11268, 11271, 11270, 11265, 73721, 73724, 11209, 100325, 11206, 100304, 73728, 73722, 11215, 11213, 11246, 11256, 163576, 163578, 100321, 100316, 229891, 229892, 73716, 31153, 11164, 11197, 11184, 31156, 11186, 11185, 11166, 100234, 11107, 100233, 100266, 100263, 100260, 11066, 11067, 11072, 11144, 11143, 11101, 11136, 11132, 11108, 11100, 73701, 73702, 100199, 73699, 100201, 11049, 11038, 11036, 11031, 11025, 259588, 73690, 10981, 100177, 10976, 100159, 73689, 73685, 100160, 229846, 229847, 100115, 100141, 100137, 229848, 100133, 229845, 100134, 73660, 73662, 73652, 100047, 73655, 10848, 10852, 10846, 259559, 31118, 31115, 10862, 10849, 259558, 73635, 10802, 10806, 100018, 259549, 73632, 39472, 100025, 100024, 100023, 10815, 259546, 10763, 31090, 10709, 31086, 31085, 73623, 73625, 10725, 99938, 109438, 10674, 229671, 229679, 229659, 229668, 10699, 10675, 109444, 10632, 99897, 99898, 73616, 73613, 99875, 99873, 73611, 213363, 10579, 10586, 10604, 10617, 10541, 99849, 213357, 73599, 10536, 10527, 10518, 63499, 113647, 39448, 173776, 73589, 173768, 73596, 73594, 259492, 142449, 259496, 10443, 10444, 10456, 73586, 73583, 73588, 49123, 259476, 259485, 10409, 10404, 99506, 259474, 73576, 73570, 259473, 99495, 99507, 99516, 10363, 10355, 10356, 10375, 10366, 10360, 219524, 99526, 259458, 99426, 259450, 63481, 229579, 10312, 10311, 73555, 73562, 10302, 10299, 43765, 73530, 10289, 10269, 73545, 73529, 73534, 10197, 73535, 73532, 10220, 10218, 73531, 73450, 73464, 73472, 73463, 10160, 10188, 99291, 10163, 24405, 73462, 73473, 10186, 10087, 73437, 73436, 73427, 73426, 73422, 73418, 73416, 73425, 73398, 73402, 73393, 73392, 73390, 73387, 9869, 9846, 9808, 9807, 9804, 9777, 9780, 9795, 219476, 9756, 9798, 73361, 73358, 73360, 99104, 73333, 73338, 99128, 73354, 73353, 73352, 73341, 9719, 259399, 219468, 149389, 9717, 9716, 9710, 9702, 9708, 99096, 9709, 9659, 9654, 99035, 259383, 73329, 99054, 73334, 73327, 9642, 9626, 163389, 9636, 73318, 158568, 73306, 63466, 73321, 9557, 249548, 98981, 73307, 9520, 9526, 9502, 9503, 9504, 9505, 9506, 9530, 249541, 9536, 9535, 9532, 9531, 73304, 73289, 98940, 213243, 9540, 73287, 73288, 9459, 73284, 249534, 73282, 73281, 9432, 9448, 9433, 73279, 43737, 9460, 9406, 9407, 73263, 73259, 98898, 73265, 73256, 73269, 73270, 73250, 73268, 98896, 73264, 73246, 73271, 158525, 9370, 73244, 175971, 73254, 9375, 249528, 9391, 73253, 9355, 9337, 73239, 73243, 73241, 9335, 43734, 73242, 9336, 9268, 73231, 98836, 73235, 259351, 73232, 259353, 73195, 9224, 9238, 98797, 9234, 73207, 9232, 9216, 259346, 9218, 9243, 113566, 73201, 9213, 73203, 73213, 73185, 73227, 73219, 73170, 73176, 73179, 73193, 73188, 73190, 73180, 73218, 73210, 73212, 259342, 73215, 73222, 73194, 9192, 9202, 9189, 98770, 73173, 73172, 98763, 9177, 9180, 9178, 24373, 98764, 9168, 9165, 98761, 9169, 98760, 9161, 9155, 9152, 9167, 73158, 30954, 73162, 73161, 73150, 73149, 73146, 73144, 163364, 73151, 9134, 73143, 9133, 73145, 9120, 9116, 9107, 9104, 9103, 249500, 73112, 9102, 73114, 259330, 259335, 9101, 259328, 259325, 73108, 9096, 259337, 73133, 30941, 73118, 73140, 73139, 73138, 73131, 73120, 73128, 73122, 9123, 98749, 98745, 98725, 98724, 73107, 73106, 73105, 73104, 73103, 73116, 73066, 73067, 73071, 73065, 73073, 259322, 163353, 259302, 73078, 259323, 163347, 98720, 163338, 175947, 98722, 63413, 73062, 73089, 73064, 249487, 73090, 73083, 9077, 9066, 9052, 9063, 98712, 73102, 73095, 73094, 73092, 73099, 73081, 73091, 73087, 73068, 142430, 73084, 73057, 142428, 98719, 9032, 73051, 158505, 259310, 259312, 9047, 9046, 163284, 163288, 8992, 9023, 9043, 9048, 9040, 9038, 30920, 163268, 73037, 98644, 73029, 73039, 30912, 30916, 98626, 73035, 259286, 30919, 259288, 73030, 49021, 98656, 98649, 8987, 73040, 163276, 163275, 225410, 163273, 163271, 63406, 63408, 8989, 163267, 98610, 8978, 8963, 8962, 8945, 98658, 163279, 163278, 8988, 73027, 8929, 8930, 8935, 8937, 8932, 8931, 8936, 30908, 63397, 73020, 73018, 63398, 98589, 259284, 259279, 163266, 8907, 163253, 24344, 8902, 8887, 8882, 229385, 8898, 24345, 8858, 225406, 259277, 259278, 8856, 225407, 8808, 8855, 8755, 142425, 259265, 142424, 8790, 73004, 73005, 8762, 8756, 213188, 72995, 98487, 98490, 98508, 98513, 163231, 72996, 72994, 72993, 72992, 30902, 72989, 98491, 30886, 72987, 8705, 8727, 8710, 8726, 8701, 8686, 8681, 163233, 72991, 30885, 213182, 8652, 8621, 72980, 72974, 72973, 72971, 208680, 8676, 8672, 8657, 8650, 63394, 8651, 30880, 98462, 8646, 8629, 8660, 30881, 72968, 8636, 8654, 98450, 8607, 8599, 98427, 259254, 98409, 30836, 98423, 259251, 259253, 259252, 72959, 259255, 72964, 8574, 8584, 8593, 8594, 204154, 259249, 259250, 259248, 72961, 8595, 98378, 8558, 8568, 259240, 259236, 72950, 8533, 98372, 30794, 98374, 30811, 98377, 8535, 72956, 8529, 72955, 72935, 72937, 72942, 72948, 8506, 72954, 98390, 8500, 8508, 8439, 72931, 8441, 72930, 30785, 259227, 98367, 30784, 259225, 72921, 72896, 72919, 72906, 72907, 72908, 72911, 72899, 72894, 72891, 72920, 8388, 8383, 8377, 8375, 8365, 30761, 63381, 24305, 30760, 8397, 8363, 8399, 8393, 8421, 8407, 72872, 72867, 72874, 72880, 72861, 98340, 72877, 72859, 98313, 72881, 8351, 30707, 98264, 30714, 8349, 8337, 98287, 30720, 8333, 8353, 8354, 98273, 8335, 98272, 8327, 98244, 98276, 72836, 30724, 30735, 30746, 30711, 30736, 30709, 30708, 72844, 98281, 98239, 30710, 98227, 72839, 72837, 8310, 8304, 24297, 72835, 98218, 72833, 8299, 8293, 175892, 8297, 8270, 8288, 8281, 8291, 8292, 8279, 63372, 63377, 72824, 63371, 63369, 63375, 30690, 30685, 30684, 163189, 72812, 72826, 163197, 8233, 8238, 8239, 8253, 72825, 8255, 72818, 72827, 72814, 163190, 30626, 259192, 259187, 8197, 8184, 8183, 98182, 98176, 98180, 8198, 72802, 98184, 30601, 8172, 98128, 72767, 163163, 30603, 163165, 72779, 72793, 72764, 72783, 72766, 204004, 72758, 72770, 30588, 98079, 8128, 98085, 8130, 72753, 30596, 30581, 8139, 72754, 30611, 72748, 98071, 72742, 8106, 8102, 149167, 24254, 98010, 98001, 97996, 97989, 97986, 97984, 97970, 30565, 8011, 30559, 163144, 163149, 8009, 30566, 98024, 8027, 97990, 8013, 8051, 8050, 8042, 8015, 8025, 8021, 8030, 72731, 72733, 72735, 259150, 98023, 8017, 72730, 72688, 72719, 72728, 97948, 97943, 72716, 72712, 72694, 72704, 72701, 72685, 72698, 72708, 72689, 7948, 72714, 8004, 7971, 163138, 7945, 7981, 7979, 7996, 72687, 7959, 7954, 7991, 7964, 63350, 30564, 30563, 30562, 30561, 30560, 63345, 163137, 259138, 259139, 259140, 259141, 72666, 259144, 72669, 97935, 72665, 259143, 259142, 7919, 72672, 72678, 7910, 7940, 7937, 7907, 7933, 7916, 7914, 97891, 7900, 72656]"
CBOE,2022-03-31,0.0,0.45267743,0,"[139767, 139764, 139768, 139758, 139757, 280355, 232530, 146400, 146399, 139754, 139756, 139750, 139747, 127030, 165407, 139742, 22482, 139738, 139735, 78121, 139733, 102024, 139730, 146382, 139723, 139728, 139725, 139727, 32558, 32553, 126869, 232266, 261490, 126863, 261496, 126852, 261499, 139716, 261476, 49581, 243072, 261443, 165354, 139715, 126827, 126819, 144787, 261416, 139720, 139714, 139717, 139712, 188958, 77820, 126807, 126802, 77805, 139709, 126775, 126768, 126763, 126783, 126778, 232138, 126745, 126754, 139707, 77795, 139706, 77771, 77731, 126684, 126679, 126668, 165255, 139700, 77569, 126560, 126569, 77542, 25112, 126555, 126541, 165238, 32439, 139692]"
CMG,2023-12-31,1.0,0.37726945,0,"[148833, 148831, 3337, 148826, 148825, 148832, 148828, 148819, 148818, 148823, 148821, 148809, 148808, 148811, 148810, 148815, 148817, 148814, 148799, 148796, 148804, 148798, 148807, 148805, 148789, 148783, 148784, 148781, 148778, 148780, 148777, 94907, 148773, 148769, 148764, 148758, 148761, 148752, 148751, 148750, 148753, 148746, 148747, 148745, 148744, 148738, 148740, 148742, 148741, 148735, 148737, 148736, 148731, 148734, 148730, 148723, 148724, 148726, 148722, 148718, 148708, 148702, 148703, 148706, 148712, 148709, 148698, 148707, 94672, 148699, 148683, 148696, 148693, 148701, 148695, 148694, 148692, 148689, 148691, 148684, 148700, 94629, 148681, 202129, 148679, 113186, 148680, 1811, 148678, 148676, 180164, 148675, 148673, 113170, 148666, 148670, 94445, 148669, 148667, 148664, 148663, 148659, 148660, 148657, 148655, 148654, 148653, 148649, 113128, 148648, 148645, 148646, 148644, 148640, 148637, 148641, 148642, 148638, 148635, 148636, 93314, 148632, 148631, 113084, 148633, 148629, 148626, 148625, 93110, 148621, 148619, 148617, 148605, 148607, 148611, 148616, 148613, 148614, 148612, 148602, 148603]"
ACN,2016-12-31,0.0,0.46805102,0,"[27523, 27521, 27518, 27516, 27515, 27511, 27512, 27513, 27510, 27509, 27508, 27507, 27505, 27504, 27502, 27499, 27497, 27498, 27490, 27495, 27494, 27489, 174899, 27486, 27487, 27482, 27485, 27484, 27478, 27479, 27476, 27472, 27474, 27471, 27469, 27468, 27467, 27466, 27462, 27461, 27458, 27456, 27453, 27454, 174857, 27449, 174858, 174859, 27437, 27441, 27442, 27443, 27447, 27445, 27444, 27446, 27439, 27436, 27434, 27428, 27429, 27431, 27430, 27427]"
ADBE,2022-12-31,0.0,0.40036333,0,"[17121, 17074, 24745, 31804, 17073, 31805, 142693, 246632, 116704, 119415, 207763, 22145, 184941, 17002, 16997, 31800, 16992, 31798, 184938, 31793, 31792, 31784, 31790, 31786, 16886, 31777, 31780, 31775, 31771, 31769, 31765, 31767, 31766, 31760, 31759, 31758, 31764, 31762, 31753, 31757, 31755, 31752, 31751, 31745, 31743, 230916, 31749, 31748, 31747, 31746, 31739, 31738, 31737, 31736, 16332, 31735, 31728, 31733, 31732, 31731, 31726, 31723, 31724, 31721, 31718, 31719, 31712, 31714, 31705, 31710, 31698, 31695, 63804, 31689, 31687, 109714, 149926, 106438, 222133, 109717, 39863, 39868, 24709, 139566, 63790, 103809, 74860, 164345, 74875, 63795, 74864, 184925, 31685, 31684, 31680, 31675, 31674, 31673, 31670, 31663, 31664, 184917, 31658, 31659, 63750, 31660, 60041, 207720, 271370, 55398, 55401, 43892, 31653, 31652, 31654, 31648, 31657, 31650, 31646, 31645, 31632, 31636, 31634, 31642, 31641, 31640, 31637, 164296, 31628, 31627, 31626, 31625, 15129, 31623, 31617, 31616, 31606, 31609, 31599, 31602, 31598, 31595, 24677, 31588, 24673, 31593, 31587, 31586, 31585, 31584, 31577, 31582, 31572, 31573, 31576, 31569, 31567, 31575, 31574, 31578, 31547, 31556, 31539, 31563, 31551, 31565, 24653, 31536, 31535, 31550, 31534, 31533, 31528, 31543, 31546, 31560, 31554, 31531, 31532, 31530, 31526, 31525, 31520, 31519, 31521, 31514, 31518, 31516, 31512, 31507, 31510, 31506, 31505, 31503, 31504, 31497, 31496, 31498, 31494, 31493, 31499, 31495]"
DRI,2020-06-30,0.0,0.41542166,0,"[185465, 185463, 185470, 185466, 65524, 185456, 185462, 185457, 185455, 185452, 185449, 185446, 185448, 185442, 185441, 185438, 151777, 151779, 185435, 185436, 185428, 185426, 185425, 127839, 185433, 181880, 181873, 151738, 185423, 185419, 185418, 185416, 185417, 185414, 185412, 185410, 185407, 185408, 185405, 185406, 185404, 185403, 185402, 185397, 185398, 185401, 185400, 185391, 185389, 185394, 185393, 185387, 26025, 185385, 185374, 185378, 185373, 185363, 185364, 185370, 185369, 26007, 26002, 185371, 185361, 185360]"
BRO,2023-12-31,1.0,0.4962002,0,"[3193, 3213, 3219, 3225, 101553, 101551, 116348, 116351, 101545, 101543, 116345, 101540, 101537, 116347, 116344, 116339, 21580, 116337, 101532, 116332, 116341, 162232, 116333, 116330, 116326, 116321, 116323, 101498, 101500, 101492, 55146, 55144, 101490, 101487, 257974, 55129, 101480, 55127, 55124, 46172, 55116, 55117, 116317, 55108, 116313, 55110, 101477, 101478, 116312, 101471, 116311, 55094, 116309, 116305, 48778, 46157, 46156, 46153, 116298, 55074, 116302, 116295, 116292, 116296, 116287, 116286, 116288, 116285, 55046, 55044, 116284, 116281, 116272, 55034, 55030, 116280]"
AMD,2018-03-31,1.0,0.4009492,0,"[88486, 88488, 88484, 88485, 88482, 88441, 88477, 88444, 270759, 88431, 88437, 88438, 88434, 270751, 88464, 88447, 88449, 88451, 88452, 88454, 88459, 88461, 88472, 88397, 270746, 270745, 270724, 270713, 88403, 88425, 88394, 88393, 88430, 270712, 88428, 88429, 88402, 88415, 88414, 88405, 88413, 88417, 88427, 88409, 88399, 88422, 88406, 88412, 88385, 270702, 42197, 88391, 88389, 88383, 270681, 88377, 88374, 88373, 88372, 270678, 88369, 88366, 88359, 88363, 270642, 270647, 270649, 88358, 88356, 270607, 270608, 270588, 88349, 88348, 88354, 58390, 88346, 88336, 88338, 88339, 88343, 88335, 270573, 270572, 88321, 88319, 270524, 88328, 88318, 88314, 88313, 88310, 88303, 88307, 88305, 88308, 88284, 88290, 88291, 88292, 88288, 88300, 88281, 270487, 36204, 88274, 88278, 88271, 42103, 88269, 270451, 88263, 88264, 88265, 88266, 88267, 88270, 88268, 88262, 88257, 270350, 270389, 88207, 88253, 88251, 66595, 88247, 88243, 88244, 88245, 88246, 88240, 88230, 88238, 88234, 88239, 66588, 66585, 66580, 88209, 66581, 88212, 66579, 88213, 88219, 88221, 88224, 88228, 66578, 88215, 66556, 66557, 88193, 88194, 88192, 88201, 88205, 88200, 88203, 88190, 88186, 88183, 88185, 66540, 66529, 58366, 88175, 88174, 88178, 88167, 66520, 88169, 88165, 66517, 88164, 66511, 88150, 88160, 88151, 88152, 88153, 88155, 88146, 88142, 88133, 270200, 66505, 88138, 88137, 88140, 88139, 88135, 88134, 88132, 42072, 88126, 66489, 88120, 88119, 88118, 88129, 88127, 47568, 88121, 88123, 66446, 88117, 66430, 88116, 66426, 88115, 88114, 88112, 88109, 88107, 88094, 88102, 88099, 88093, 88090, 88086, 88088, 88089, 88091, 88092, 88082, 88079, 88085, 88081, 88083, 88084, 88075, 88074, 45252, 88066, 88068, 88065, 88067, 88072, 88071, 88062, 88057, 88053, 88047, 88052, 88041, 88054, 88055, 88045, 88034, 88032, 270003, 270005, 270004, 88037, 88029, 88020, 88027, 88021, 88024, 88023, 88022, 88018, 88015, 88000, 88001, 88002, 87998, 88003, 88009, 88013, 87999, 88008, 87991, 87994, 87983, 87997, 87992, 87993, 87995, 87978, 87973, 87979, 87977, 87970, 87971, 47523, 87969, 269858, 87960, 87962, 87966, 87963, 87961, 87958, 269829, 87948, 269823, 87949, 87951, 87952, 87954, 269814, 87945, 87938, 87944, 87943, 87941, 87940, 87939, 87931, 87929, 87935, 87936, 87923, 87932]"
