cluster_id,fact_count,cluster_proportion,avg_attention_score,std_attention_score,weighted_attention_score,avg_sentiment,std_sentiment,sample_event_types
53,4047,0.181521,0.035733,0.144425,0.006486,0.549437,0.401906,cryptocurrency_market_fluctuation; cryptocurrency_market_movement; cryptocurrency_price_movement; market_analysis; market_commentary
34,2495,0.111908,0.039658,0.14981,0.004438,0.232044,0.42746,industrial_policy; industry_analysis; industry_challenges; industry_context; industry_development
59,1228,0.05508,0.07879,0.236418,0.00434,0.047516,0.33473,etf_analysis; etf_comparison; etf_composition; etf_description; etf_focus
2,1551,0.069567,0.060535,0.178419,0.004211,0.588975,0.206911,blockchain_partnership; collaboration; industry_partnership; investment_partnership; partnership
4,2130,0.095537,0.038091,0.149862,0.003639,0.084836,0.429792,activist_investor; alternative_investment; competitive_investment; cryptocurrency_investment; esg_investing
17,1422,0.063781,0.053114,0.144741,0.003388,0.382658,0.398816,acquisition_and_earnings_announcement; earnings_and_sales_report; earnings_announcement; earnings_announcement_and_acquisition; earnings_announcement_and_deal_uncertainty
10,1747,0.078358,0.042703,0.175874,0.003346,0.241328,0.385302,analyst_comment; analyst_commentary; analyst_coverage; analyst_coverage_initiation; analyst_downgrade
51,671,0.030096,0.08242,0.170417,0.002481,-0.289419,0.390755,competition; competition_analysis; competition_and_privacy_changes; competition_expansion; competition_intensification
1,513,0.02301,0.101364,0.23818,0.002332,0.351462,0.236121,comparable_analysis; comparative_analysis; comparison; competitive_benchmarking; competitive_comparison
32,653,0.029289,0.063211,0.180161,0.001851,0.632619,0.248903,avoidance_of_stocks; cyclical_stock_analysis; former_penny_stocks; growth_stock_analysis; growth_stock_evaluation
6,500,0.022427,0.077947,0.205142,0.001748,0.343,0.20261,business_update_and_dividend_growth; dividend_adjustment; dividend_analysis; dividend_announcement; dividend_announcement_and_share_repurchase
15,511,0.02292,0.054696,0.158876,0.001254,0.556751,0.198794,acquisition; acquisition_analysis; acquisition_and_dividend; acquisition_and_expansion; acquisition_and_partnership
29,197,0.008836,0.136415,0.222959,0.001205,0.711929,0.166014,brand_performance; brand_recognition; product_adoption; product_demand; product_description
37,407,0.018255,0.048527,0.175408,0.000886,0.423342,0.291519,congressional_hearing; crisis_management; criticism; election_impact; government_investigation
9,160,0.007176,0.115053,0.149162,0.000826,0.579062,0.468057,acquisitions_and_earnings_growth; earnings_analysis; earnings_and_demand_update; earnings_and_financials; earnings_and_rating_upgrade
33,146,0.006549,0.115404,0.260529,0.000756,0.52911,0.461599,added_position; added_positions; blue_chip_classification; breakout; cloud_transition
40,295,0.013232,0.052044,0.185327,0.000689,-0.260339,0.41801,asset_management_update; asset_under_management_update; assets_under_management_update; brokerage_update; brokerage_upgrade
38,67,0.003005,0.216986,0.227334,0.000652,0.555224,0.326462,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; market_cap_projection
22,272,0.0122,0.045626,0.160736,0.000557,0.5,0.265546,ceo_appointment; executive_appointment; executive_background; executive_change; executive_hire
55,47,0.002108,0.262728,0.230003,0.000554,0.257447,0.506025,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenges
0,83,0.003723,0.143807,0.201641,0.000535,0.774699,0.122074,business_growth; cloud_services_growth; expansion_and_growth; growth_acceleration; growth_and_dividend
42,97,0.004351,0.102567,0.212945,0.000446,-0.15567,0.523857,investment_and_partnership; partnership_acquisition; partnership_and_certifications; partnership_and_competition; partnership_and_expansion
