num_tickers,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment
12,3,0.665240,0.121736,0.500000,0.000000
10,15,0.423594,0.320418,0.560000,0.380876
8,33,0.386878,0.243127,0.175758,0.578415
11,2,0.321152,0.112436,0.000000,0.800000
9,8,0.295564,0.120126,0.787500,0.033072
7,46,0.248734,0.220309,0.380435,0.497655
5,470,0.137865,0.199327,0.355745,0.456722
3,3358,0.134128,0.229910,0.301608,0.459966
6,235,0.124071,0.180033,0.214894,0.521201
2,6349,0.117475,0.239581,0.312947,0.461822
4,1557,0.104982,0.183378,0.270546,0.468577
1,13844,0.008900,0.022410,0.336914,0.507580
