cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
6,8,4,2.105263,0.584355,0.422068,0.3,0.327872,dividend_announcement; dividend_update
1,7,5,2.631579,0.583109,0.376546,0.342857,0.315582,comparison; industry_comparison; market_comparison; peer_comparison; quality_score_comparison
59,12,7,3.684211,0.515571,0.322863,0.258333,0.436765,etf_analysis; etf_holdings; etf_inclusion; etf_inflow; etf_launch
46,5,5,2.631579,0.485849,0.428114,0.2,0.777174,profitability_outlook; reduced_profit_forecast; revenue_estimate; revenue_growth_outlook; revenue_impact
45,3,2,1.052632,0.442265,0.125351,0.6,0.141421,new_exchange_launch; promotion_launch
22,5,4,2.105263,0.422285,0.298365,0.46,0.300666,executive_change; executive_commentary; executive_movement
36,7,4,2.105263,0.328926,0.314989,-0.228571,0.224972,asset_divestiture; institutional_ownership_change; shareholder_update; stock_sales
47,4,2,1.052632,0.30996,0.034656,0.525,0.108972,executive_expectations_and_valuation; valuation_comparison
26,6,3,1.578947,0.307503,0.100896,-0.1,0.412311,bond_issuance; bond_issue; bond_sale; financial_support; loan_deferrals
29,4,2,1.052632,0.302219,0.104013,0.625,0.108972,product_launch
43,8,3,1.578947,0.292184,0.155501,0.5,0.466369,economic_stimulus; government_subsidy; legislative_support; tax_credit_extension; tax_legislation
2,25,6,3.157895,0.261467,0.348476,0.636,0.138217,partnership
34,32,14,7.368421,0.238022,0.20749,0.35,0.543139,industry_challenges; industry_concerns; industry_development; industry_outlook; industry_recognition
40,8,7,3.684211,0.224389,0.200455,0.45,0.37081,investment_portfolio_update; operational_update; ownership_update; portfolio_rebalancing; upgrade
54,4,2,1.052632,0.206376,0.050095,-0.45,0.55,credit_card_promotion; credit_rating_change
16,2,2,1.052632,0.186697,0.11385,0.65,0.15,construction_spending_increase; financial_performance
37,5,3,1.578947,0.151,0.161831,0.38,0.601332,election_influence; illicit_funds_scandal; other; political_influence
3,1,1,0.526316,0.143223,0.0,0.8,0.0,sales_growth
13,14,3,1.578947,0.140099,0.238919,-0.635714,0.355783,dispute_resolution; lawsuit; money_laundering_allegations
51,3,2,1.052632,0.137456,0.040459,0.066667,0.286744,competition_risk; competitive_analysis; competitive_strategy
25,6,4,2.105263,0.132291,0.095352,-0.683333,0.068718,industry_slowdown; market_decline; sector_downgrade_warning; stock_price_decrease
15,8,4,2.105263,0.131849,0.115038,0.6125,0.395087,acquisition; acquisition_approval; acquisitions_and_earnings; acquisitions_and_expansion; acquisitions_and_revenue_diversification
53,105,15,7.894737,0.117238,0.226249,-0.262857,0.707411,market_analysis; market_commentary; market_fluctuation; market_impact; market_movement
17,47,12,6.315789,0.114408,0.192215,0.382979,0.316442,earnings_and_sales_report; earnings_announcement; earnings_report; upcoming_earnings
28,1,1,0.526316,0.11219,0.0,-0.5,0.0,ratings_action
42,1,1,0.526316,0.111144,0.0,-0.2,0.0,partnership_loss
24,4,3,1.578947,0.103153,0.060101,0.0,0.751665,inflation_slowdown; interest_rate_impact; interest_rate_sensitive_benefits
5,2,2,1.052632,0.096607,0.00136,0.2,0.0,supply_chain_issue
23,4,4,2.105263,0.079108,0.01908,0.425,0.711952,business_failure; business_update; market_opportunity
30,4,2,1.052632,0.073995,0.012319,0.8,0.070711,vaccine_development; vaccine_speculation; vaccine_trial_results
55,40,7,3.684211,0.070481,0.194155,0.21,0.274591,regulatory_approval; regulatory_challenge; regulatory_change; regulatory_risk; regulatory_ruling
56,1,1,0.526316,0.070188,0.0,0.8,0.0,bank_performance
20,1,1,0.526316,0.069247,0.0,0.6,0.0,market_expansion
19,3,3,1.578947,0.067793,0.003732,0.7,0.141421,market_rebound; recovery_progress; stock_recovery
14,3,1,0.526316,0.066451,0.000401,0.6,0.08165,merger; merger_approval; merger_completion
58,2,1,0.526316,0.066146,6.8e-05,0.85,0.05,sales_report
21,1,1,0.526316,0.065935,0.0,0.9,0.0,operations_resumption
57,3,1,0.526316,0.065591,0.000176,0.833333,0.04714,business_restart; business_restart_plan; business_resumption
33,3,3,1.578947,0.065402,0.002114,0.566667,0.04714,sector_rotation; stress_test_results; technical_breakout
31,2,1,0.526316,0.06455,3.4e-05,0.55,0.05,insider_buying; pre_market_trading
38,38,5,2.631579,0.059716,0.187717,0.373684,0.289904,bearish_outlook; economic_outlook; investment_outlook; market_outlook
10,176,9,4.736842,0.039888,0.168064,-0.119318,0.260401,analyst_comment; analyst_expectations; analyst_insight; analyst_recommendation; analyst_target_price
4,109,3,1.578947,0.02595,0.127655,0.52844,0.0987,institutional_investment; investment; investment_and_outlook; investment_announcement; investment_endorsement
50,70,3,1.578947,0.025072,0.143268,0.511429,0.06875,award_recognition; conference_participation; diversity_initiative
35,21,1,0.526316,0.023825,0.106547,0.6,0.0,licensing_agreement
32,206,9,4.736842,0.023566,0.128562,-0.415049,0.324586,stock_performance; stock_price_increase; stock_price_movement; stock_purchase; stock_recommendation
9,133,8,4.210526,0.022377,0.112467,-0.726316,0.327188,earnings_disappointment; earnings_estimate_revisions; earnings_expectation; earnings_forecast; earnings_forecast_revision
48,275,5,2.631579,0.020468,0.128638,0.532364,0.059144,ipo_announcement; ipo_funding; ipo_investment; ipo_preparation; ipo_underwriting
39,711,1,0.526316,0.001406,0.037477,0.1,0.0,price_target
49,1,1,0.526316,0.0,0.0,-0.5,0.0,brexit_impact
