ticker,fact_count,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_attention_impact,attention_efficiency
PTC,2,1.000000,0.000000,0.600000,0.100000,2.000000,0.999508
ROST,2,1.000000,0.000000,0.550000,0.050000,2.000000,0.999508
ULTA,1,1.000000,0.000000,0.700000,0.000000,1.000000,0.999754
WTW,3,0.861616,0.195704,0.200000,0.326599,2.584849,0.860980
TROW,8,0.824014,0.238958,0.400000,0.287228,6.592110,0.822390
APH,2,0.806852,0.193148,0.400000,0.300000,1.613705,0.806455
GL,5,0.800000,0.244982,0.340000,0.162481,4.000000,0.799015
VRSN,4,0.773818,0.227992,0.425000,0.129904,3.095270,0.773055
ZBRA,3,0.772393,0.161352,0.733333,0.047140,2.317179,0.771823
ROP,2,0.768608,0.231392,0.200000,0.700000,1.537216,0.768229
AZO,3,0.751453,0.176245,0.000000,0.355903,2.254358,0.750898
MKTX,7,0.750035,0.227097,0.257143,0.159079,5.250242,0.748742
LOW,6,0.744672,0.217997,0.200000,0.374166,4.468031,0.743572
AKAM,17,0.738221,0.250335,0.276471,0.338734,12.549759,0.735131
MSI,2,0.707759,0.039162,-0.050000,0.650000,1.415517,0.707410
PRU,13,0.703224,0.200646,0.415385,0.367625,9.141918,0.700973
KMX,3,0.698828,0.212962,-0.433333,0.659966,2.096485,0.698312
INTU,19,0.686077,0.231555,0.207895,0.478557,13.035470,0.682867
IT,15,0.664343,0.280686,0.073333,0.490533,9.965150,0.661889
TJX,6,0.626767,0.304221,0.333333,0.402768,3.760604,0.625841
ORLY,2,0.619698,0.140906,0.300000,0.200000,1.239396,0.619393
TPR,4,0.613512,0.117267,0.550000,0.229129,2.454047,0.612907
FI,3,0.600491,0.291386,0.066667,0.188562,1.801474,0.600048
ADSK,18,0.598472,0.264034,0.338889,0.521897,10.772489,0.595819
STX,4,0.574520,0.270749,0.450000,0.229129,2.298080,0.573954
BKNG,32,0.565922,0.337942,0.315625,0.481605,18.109504,0.561463
MCO,17,0.564407,0.260986,0.405882,0.363756,9.594920,0.562044
NTAP,11,0.543263,0.281905,0.490909,0.435795,5.975895,0.541792
POOL,2,0.531994,0.006446,0.800000,0.000000,1.063988,0.531732
ANSS,16,0.531959,0.348211,0.593750,0.349050,8.511348,0.529863
SPGI,7,0.514356,0.218885,0.471429,0.376883,3.600492,0.513469
