cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,4,4,2.105263,0.38539,0.106347,0.575,0.248747,artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
25,28,26,13.684211,0.346845,0.324825,-0.521429,0.34159,consumer_spending_decrease; economic_downturn; market_decline; market_plunge; pc_shipments_decline
49,17,14,7.368421,0.293346,0.271574,-0.458824,0.42573,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
43,17,9,4.736842,0.268095,0.150567,0.405882,0.582561,government_incentives; government_initiative; government_subsidy; legislative_support; meeting_with_government
5,14,13,6.842105,0.2648,0.213452,0.078571,0.534761,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supply_agreement
36,25,20,10.526316,0.261523,0.267953,0.352,0.412912,asset_sale; divestment; divesture; equity_raising; equity_underwriting_fees
13,16,11,5.789474,0.261072,0.266509,-0.3375,0.510973,counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing; intellectual_property_dispute
55,60,36,18.947368,0.25043,0.241939,0.273333,0.48849,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
21,15,13,6.842105,0.240896,0.260366,-0.413333,0.394743,advertising_pause; business_setback; company_response; contract_loss; customer_loss
26,12,10,5.263158,0.239932,0.267197,0.2,0.424264,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
45,11,7,3.684211,0.217702,0.3117,0.272727,0.718699,fund_launch; innovation_hub_opening; menu_launch; new_exchange_launch; promotion_launch
57,24,22,11.578947,0.203744,0.222871,0.429167,0.346986,business_restructuring; business_strategy_shift; company_transformation; consolidation; corporate_restructuring
8,12,5,2.631579,0.193713,0.253859,-0.05,0.606218,flexible_work_arrangements; labor_agreement; labor_dispute; labor_negotiations; wage_increase
14,38,25,13.157895,0.185623,0.234293,0.268421,0.449623,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
38,88,46,24.210526,0.18383,0.237311,0.460227,0.345191,bearish_outlook; economic_forecast; economic_outlook; investment_outlook; long_term_outlook
28,35,21,11.052632,0.180858,0.302914,0.571429,0.291373,analyst_rating; customer_loyalty_ranking; guru_rating; investment_rating; neutral_rating
56,3,1,0.526316,0.179311,0.033981,0.6,0.141421,banking_sector_stability; banking_system_support
31,21,18,9.473684,0.176581,0.230134,0.495238,0.472558,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
20,33,29,15.263158,0.160409,0.130274,0.566667,0.255446,adoption_expansion; benefit_expansion; business_expansion; business_model_expansion; delivery_expansion
19,18,12,6.315789,0.159196,0.232919,0.655556,0.211403,business_recovery; economic_recovery; market_rebound; market_recovery; recovery_outlook
39,10,9,4.736842,0.157233,0.281872,0.17,0.629365,labor_cost_increase; price_drop; price_target; price_target_increase; price_target_raise
