cluster_id,fact_count,sample_count,percentage_of_samples,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,sample_event_types
41,4,4,2.105263,0.386362,0.105697,0.575,0.248747,artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
25,33,29,15.263158,0.311115,0.311394,-0.539394,0.31998,consumer_spending_decrease; economic_downturn; housing_start_decline; industry_slowdown; market_decline
49,17,14,7.368421,0.289038,0.269349,-0.458824,0.42573,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
5,13,12,6.315789,0.281495,0.216702,0.123077,0.529374,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supply_agreement
45,11,6,3.157895,0.280767,0.313858,0.236364,0.699705,innovation_hub_opening; new_exchange_launch; promotion_launch; spin_off_announcement
36,32,24,12.631579,0.276443,0.27487,0.24375,0.459577,asset_divestiture; asset_sale; buyout_interest; divestment; divesture
26,14,11,5.789474,0.255115,0.252196,-0.0,0.450397,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
43,17,10,5.263158,0.249128,0.148772,0.582353,0.385373,economic_stimulus; government_incentive; government_incentives; government_initiative; government_subsidy
21,15,13,6.842105,0.238834,0.261379,-0.32,0.511468,advertising_pause; business_setback; company_response; contract_loss; customer_loss
8,10,4,2.105263,0.216233,0.271062,-0.21,0.53563,flexible_work_arrangements; labor_agreement; labor_dispute; labor_negotiations; workforce_reduction
14,34,23,12.105263,0.202975,0.244294,0.270588,0.445586,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
13,31,13,6.842105,0.197515,0.258767,-0.522581,0.43233,counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing; lawsuit
38,91,46,24.210526,0.192566,0.236425,0.474725,0.335564,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; market_cap_projection
55,91,39,20.526316,0.189144,0.250542,0.225275,0.41605,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
57,29,24,12.631579,0.178435,0.206563,0.531034,0.293732,business_restart; business_restart_plan; business_restructuring; business_resumption; business_strategy_shift
28,37,23,12.105263,0.175497,0.298172,0.57027,0.34159,analyst_rating; guru_rating; investment_rating; neutral_rating; rating_action
31,22,18,9.473684,0.174137,0.226094,0.436364,0.522708,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
12,5,5,2.631579,0.170184,0.081383,0.76,0.08,green_bond_issuance; renewable_energy_initiative; renewable_energy_trend; sustainability_efforts; sustainability_initiative
29,182,71,37.368421,0.15599,0.230476,0.72033,0.174308,brand_performance; brand_recognition; counterfeit_product_removal; product_adoption; product_demand
56,4,2,1.052632,0.155612,0.054942,0.65,0.15,bank_performance; banking_sector_stability; banking_system_support
7,13,13,6.842105,0.153974,0.109705,0.476923,0.342286,automation_adoption; digital_transformation; disruption_and_innovation; menu_innovation; technical_milestone
20,40,33,17.368421,0.152504,0.133018,0.595,0.244898,adoption_expansion; benefit_expansion; business_expansion; business_model_expansion; delivery_expansion
19,21,15,7.894737,0.146917,0.217295,0.661905,0.203484,business_recovery; economic_recovery; market_rebound; market_recovery; recovery
0,81,57,30.0,0.143674,0.201888,0.757407,0.186936,business_growth; growth_acceleration; growth_and_dividend; growth_and_value_opportunity; growth_at_reasonable_price
3,21,14,7.368421,0.135024,0.124075,0.571429,0.437681,demand_surge; holiday_sales; holiday_sales_report; holiday_season_sales; new_purchase
11,12,10,5.263158,0.126449,0.144464,0.533333,0.46428,auction; bond_offering; contract_award; contract_ratification; contract_win
18,17,13,6.842105,0.117655,0.114048,0.394118,0.484429,big_data_focus; cloud_competition; cloud_computing_strategy; cloud_lag; cryptocurrency_adoption
30,13,8,4.210526,0.116593,0.091641,0.361538,0.624547,covid_19_impact; health_crisis_impact; pandemic_growth; pandemic_impact; pandemic_recovery
33,149,39,20.526316,0.115193,0.258795,0.531879,0.457533,added_position; added_positions; blue_chip_classification; breakout; cloud_transition
27,39,8,4.210526,0.114861,0.241325,0.3,0.337411,index_composition; index_construction; index_inclusion; index_movement; market_index_movement
16,90,17,8.947368,0.114282,0.274505,0.426667,0.353019,capital_increase_approval; capital_plan_approval; capital_raise_consideration; cash_reserve; efficiency_ratio_improvement
47,100,35,18.421053,0.110218,0.184899,0.252,0.323877,executive_expectations_and_valuation; market_valuation; stock_valuation; undervaluation; undervaluation_analysis
1,529,91,47.894737,0.104891,0.239817,0.347543,0.238603,comparable_analysis; comparative_analysis; comparison; competitive_benchmarking; competitive_comparison
24,98,22,11.578947,0.098448,0.214296,0.12551,0.327112,currency_headwinds; economic_commentary; federal_reserve_announcement; federal_reserve_intervention; federal_reserve_policy
46,66,19,10.0,0.091363,0.232883,0.601515,0.352262,profit_margin_increase; profitability_outlook; reduced_profit_forecast; revenue_forecast; revenue_growth
42,120,36,18.947368,0.087191,0.195283,-0.035833,0.535069,investment_and_partnership; partnership_acquisition; partnership_and_certifications; partnership_and_competition; partnership_and_expansion
51,677,86,45.263158,0.087147,0.180329,-0.282275,0.395259,competition; competition_analysis; competition_and_privacy_changes; competition_expansion; competition_intensification
23,121,44,23.157895,0.085172,0.157271,0.032231,0.536474,businessSuspension; business_delegation; business_failure; business_model; business_model_description
6,556,69,36.315789,0.080799,0.215205,0.391187,0.232003,business_update_and_dividend_growth; dividend_adjustment; dividend_analysis; dividend_announcement; dividend_announcement_and_share_repurchase
9,293,85,44.736842,0.074082,0.142564,-0.012799,0.769146,acquisitions_and_earnings_growth; earnings_analysis; earnings_and_demand_update; earnings_and_financials; earnings_and_rating_upgrade
58,29,9,4.736842,0.066942,0.195002,0.393103,0.365712,catastrophe_loss_report; economic_data_release; industry_loss_report; report_release; revenue_report
59,1606,92,48.421053,0.06651,0.219187,-0.005635,0.314323,etf_analysis; etf_comparison; etf_composition; etf_description; etf_focus
2,1617,121,63.684211,0.064835,0.184793,0.59295,0.20669,blockchain_partnership; collaboration; industry_partnership; investment_partnership; partnership
40,300,39,20.526316,0.056659,0.188832,-0.250333,0.424146,asset_management_update; asset_under_management_update; assets_under_management_update; brokerage_update; brokerage_upgrade
17,1440,152,80.0,0.056517,0.150966,0.376764,0.397863,acquisition_and_earnings_announcement; earnings_and_sales_report; earnings_announcement; earnings_announcement_and_acquisition; earnings_announcement_and_analyst_upgrade
15,514,69,36.315789,0.056184,0.160211,0.558171,0.192923,acquisition; acquisition_and_dividend; acquisition_and_expansion; acquisition_and_partnership; acquisition_and_restructuring
32,881,110,57.894737,0.055482,0.168566,0.38933,0.519822,avoidance_of_stocks; cyclical_stock_analysis; financial_analysis; former_penny_stocks; growth_stock_analysis
22,278,31,16.315789,0.051939,0.170517,0.496043,0.275926,ceo_appointment; executive_appointment; executive_background; executive_change; executive_commentary
37,412,53,27.894737,0.050916,0.177674,0.423301,0.297548,confidence_vote; congressional_hearing; crisis_management; criticism; election_impact
10,1765,86,45.263158,0.046128,0.181794,0.245779,0.386853,analyst_comment; analyst_commentary; analyst_coverage; analyst_coverage_initiation; analyst_downgrade
34,2540,126,66.315789,0.041844,0.151886,0.235906,0.430759,industrial_policy; industry_analysis; industry_challenges; industry_concerns; industry_context
53,4195,155,81.578947,0.038838,0.148878,0.527514,0.433271,cryptocurrency_market_fluctuation; cryptocurrency_market_movement; cryptocurrency_price_movement; market_analysis; market_commentary
54,89,5,2.631579,0.037718,0.156798,0.14382,0.227322,credit_agreement; credit_card_promotion; credit_card_switch; credit_quality_concerns; credit_rating_change
48,326,14,7.368421,0.031162,0.151488,0.43773,0.256844,initial_public_offering; ipo_announcement; ipo_funding; ipo_impact; ipo_investment
4,3357,104,54.736842,0.026382,0.127291,0.340959,0.479497,activist_investor; alternative_investment; competitive_investment; cryptocurrency_investment; esg_investing
35,22,2,1.052632,0.022872,0.104814,0.590909,0.04166,licensing_agreement
44,12,10,5.263158,0.022611,0.031991,0.425,0.129904,high_options_trading_volume; options_contract_availability; options_contract_update; options_trading; options_trading_activity
52,453,9,4.736842,0.013881,0.103058,0.395364,0.332693,catastrophe_loss_estimate; data_security_concerns; insurance_claims_improvement; natural_disaster; natural_disaster_impact
50,1614,25,13.157895,0.006158,0.06089,0.878377,0.092853,adoption; award_or_recognition; award_recognition; conference_discussion; conference_participation
39,722,10,5.263158,0.003673,0.053133,0.102216,0.080995,labor_cost_increase; price_drop; price_movement; price_target; price_target_increase
