cluster_id,positive_samples,negative_samples,total_samples,positive_percentage,negative_percentage,enrichment_ratio
30,10,2,12,12.82051282051282,1.7857142857142856,7.17948717948718
5,22,16,38,28.205128205128204,14.285714285714285,1.9743589743589745
54,8,6,14,10.256410256410255,5.357142857142857,1.9145299145299144
46,34,31,65,43.58974358974359,27.67857142857143,1.574855252274607
8,16,15,31,20.51282051282051,13.392857142857142,1.5316239316239315
43,17,16,33,21.794871794871796,14.285714285714285,1.5256410256410258
22,45,43,88,57.692307692307686,38.392857142857146,1.502683363148479
39,29,28,57,37.17948717948718,25.0,1.4871794871794872
28,31,32,63,39.743589743589745,28.57142857142857,1.3910256410256412
7,21,22,43,26.923076923076923,19.642857142857142,1.3706293706293706
25,40,42,82,51.28205128205128,37.5,1.3675213675213673
24,26,28,54,33.33333333333333,25.0,1.333333333333333
13,26,28,54,33.33333333333333,25.0,1.333333333333333
45,10,11,21,12.82051282051282,9.821428571428571,1.3053613053613053
38,47,52,99,60.256410256410255,46.42857142857143,1.2978303747534516
20,32,36,68,41.02564102564102,32.142857142857146,1.2763532763532761
12,8,9,17,10.256410256410255,8.035714285714286,1.2763532763532761
23,49,56,105,62.82051282051282,50.0,1.2564102564102564
55,38,44,82,48.717948717948715,39.285714285714285,1.24009324009324
34,68,80,148,87.17948717948718,71.42857142857143,1.2205128205128206
40,48,58,106,61.53846153846154,51.78571428571429,1.1883289124668435
37,57,69,126,73.07692307692307,61.60714285714286,1.1861761426978816
19,18,22,40,23.076923076923077,19.642857142857142,1.1748251748251748
47,45,55,100,57.692307692307686,49.107142857142854,1.1748251748251748
10,64,79,143,82.05128205128204,70.53571428571429,1.1632586822460238
36,40,50,90,51.28205128205128,44.642857142857146,1.1487179487179486
16,23,29,52,29.48717948717949,25.892857142857146,1.138815207780725
9,70,90,160,89.74358974358975,80.35714285714286,1.1168091168091168
0,49,65,114,62.82051282051282,58.03571428571429,1.0824457593688361
49,15,20,35,19.230769230769234,17.857142857142858,1.076923076923077
31,39,52,91,50.0,46.42857142857143,1.0769230769230769
53,74,100,174,94.87179487179486,89.28571428571429,1.0625641025641024
59,50,68,118,64.1025641025641,60.71428571428571,1.0558069381598794
32,69,95,164,88.46153846153845,84.82142857142857,1.042914979757085
33,44,61,105,56.41025641025641,54.46428571428571,1.0357292980243802
14,20,28,48,25.64102564102564,25.0,1.0256410256410255
1,53,76,129,67.94871794871796,67.85714285714286,1.0013495276653173
48,16,23,39,20.51282051282051,20.535714285714285,0.9988851727982162
17,77,111,188,98.71794871794873,99.10714285714286,0.9960729960729962
29,45,65,110,57.692307692307686,58.03571428571429,0.9940828402366861
21,21,31,52,26.923076923076923,27.67857142857143,0.9727047146401985
2,60,90,150,76.92307692307693,80.35714285714286,0.9572649572649573
50,26,39,65,33.33333333333333,34.82142857142857,0.9572649572649572
18,22,35,57,28.205128205128204,31.25,0.9025641025641026
3,22,35,57,28.205128205128204,31.25,0.9025641025641026
4,58,93,151,74.35897435897436,83.03571428571429,0.8955059277639923
42,26,42,68,33.33333333333333,37.5,0.8888888888888887
27,8,13,21,10.256410256410255,11.607142857142858,0.8836291913214989
6,47,77,124,60.256410256410255,68.75,0.8764568764568764
44,31,52,83,39.743589743589745,46.42857142857143,0.8560157790927021
51,42,72,114,53.84615384615385,64.28571428571429,0.8376068376068375
15,42,72,114,53.84615384615385,64.28571428571429,0.8376068376068375
56,4,7,11,5.128205128205128,6.25,0.8205128205128205
58,18,32,50,23.076923076923077,28.57142857142857,0.8076923076923077
57,23,41,64,29.48717948717949,36.607142857142854,0.8055034396497812
11,14,27,41,17.94871794871795,24.107142857142858,0.7445394112060779
35,3,6,9,3.8461538461538463,5.357142857142857,0.7179487179487181
41,4,8,12,5.128205128205128,7.142857142857142,0.717948717948718
26,14,29,43,17.94871794871795,25.892857142857146,0.6931918656056586
52,11,24,35,14.102564102564102,21.428571428571427,0.6581196581196581
