cluster_id,fact_count_TP,fact_count_TN,fact_count_FP,fact_count_FN,average_attention_rank_positive,average_attention_rank_negative
0,1,65,0,13,32.0,25
1,7,488,6,44,3.0,37
2,363,1168,11,47,45.0,43
3,2,11,1,8,16.0,30
4,1278,1845,7,283,51.0,54
5,1,10,1,2,31.0,5
6,4,354,50,140,27.0,42
7,2,8,0,3,7.0,31
8,0,10,0,1,,13
9,130,111,6,47,48.0,32
10,19,775,164,810,43.0,52
11,0,8,0,2,,27
12,2,3,0,1,24.0,21
13,3,12,14,0,15.0,11
14,3,25,0,10,38.0,16
15,11,482,1,32,20.0,47
16,3,55,2,32,13.0,34
17,30,1153,36,298,19.0,49
18,0,15,0,1,,29
19,2,5,1,9,42.0,19
20,3,22,1,8,17.0,23
21,1,6,0,6,36.0,7
22,3,258,5,14,9.0,51
23,3,90,1,25,34.0,39
24,1,88,2,6,26.0,36
25,3,23,2,3,22.0,2
26,2,8,3,0,8.0,12
27,0,16,0,1,,9
28,2,30,0,4,40.0,20
29,5,148,5,26,6.0,26
30,4,4,0,5,35.0,28
31,1,17,3,1,28.0,18
32,216,376,9,269,44.0,46
33,5,145,1,6,30.0,33
34,109,2227,20,124,25.0,53
35,0,1,21,0,49.0,60
36,2,17,3,4,4.0,4
37,5,397,4,8,12.0,50
38,39,41,3,8,33.0,6
39,711,10,1,0,52.0,24
40,4,293,2,4,11.0,48
41,0,5,0,0,,1
42,1,34,1,65,29.0,35
43,4,7,4,3,10.0,10
44,0,10,0,3,,57
45,2,9,1,0,2.0,15
46,3,60,3,1,5.0,45
47,4,29,58,13,39.0,22
48,104,53,170,3,50.0,38
49,3,10,0,4,21.0,3
50,72,1540,1,1,46.0,59
51,4,648,4,30,1.0,40
52,0,6,0,447,,58
53,111,1794,18,2241,18.0,55
54,3,85,1,0,14.0,56
55,12,37,35,5,23.0,8
56,0,3,0,0,,17
57,3,18,1,4,37.0,14
58,1,29,0,2,41.0,44
59,374,925,77,230,47.0,41
