cluster_id,fact_count,cluster_proportion,avg_attention_score,std_attention_score,weighted_attention_score,avg_sentiment,std_sentiment,sample_event_types
53,4160,0.160494,0.038959,0.149626,0.006253,0.528599,0.431044,cryptocurrency_market_fluctuation; cryptocurrency_market_movement; cryptocurrency_price_movement; market_analysis; market_commentary
59,1608,0.062037,0.066497,0.219121,0.004125,-0.005939,0.313676,etf_analysis; etf_comparison; etf_composition; etf_description; etf_focus
34,2541,0.098032,0.041873,0.151764,0.004105,0.236226,0.430246,industrial_policy; industry_analysis; industry_challenges; industry_concerns; industry_context
2,1640,0.063272,0.064628,0.184089,0.004089,0.588598,0.204398,blockchain_partnership; collaboration; industry_partnership; investment_partnership; partnership
4,3372,0.130093,0.026839,0.127427,0.003492,0.341622,0.478777,activist_investor; alternative_investment; cryptocurrency_investment; esg_investing; hedge_fund_activity
10,1768,0.06821,0.046261,0.181753,0.003155,0.246324,0.38674,analyst_comment; analyst_commentary; analyst_coverage; analyst_coverage_initiation; analyst_downgrade
17,1394,0.053781,0.055473,0.152492,0.002983,0.368537,0.395149,acquisition_and_earnings_announcement; earnings_and_sales_report; earnings_announcement; earnings_announcement_and_acquisition; earnings_announcement_and_deal_uncertainty
51,671,0.025887,0.087385,0.181707,0.002262,-0.282265,0.393424,competition; competition_analysis; competition_and_privacy_changes; competition_expansion; competition_intensification
1,575,0.022184,0.096526,0.231437,0.002141,0.337043,0.23242,comparable_analysis; comparative_analysis; comparison; competitive_benchmarking; competitive_comparison
32,876,0.033796,0.055125,0.168648,0.001863,0.388813,0.519714,cyclical_stock_analysis; financial_analysis; former_penny_stocks; growth_stock_analysis; growth_stock_evaluation
6,533,0.020563,0.083778,0.219281,0.001723,0.386116,0.234049,business_update_and_dividend_growth; dividend_adjustment; dividend_announcement; dividend_announcement_and_share_repurchase; dividend_comparison
15,528,0.02037,0.056884,0.157993,0.001159,0.560985,0.205862,acquisition; acquisition_analysis; acquisition_and_dividend; acquisition_and_expansion; acquisition_and_partnership
29,185,0.007137,0.15578,0.229271,0.001112,0.726216,0.172742,brand_performance; brand_recognition; counterfeit_product_removal; product_adoption; product_demand
9,284,0.010957,0.0741,0.145335,0.000812,-0.032746,0.767944,acquisitions_and_earnings_growth; earnings_analysis; earnings_and_demand_update; earnings_and_financials; earnings_and_rating_upgrade
37,413,0.015934,0.050778,0.177202,0.000809,0.422276,0.296938,congressional_hearing; crisis_management; criticism; election_impact; government_investigation
33,151,0.005826,0.115674,0.257145,0.000674,0.531457,0.454507,added_position; added_positions; blue_chip_classification; breakout; cloud_transition
38,91,0.003511,0.191546,0.235329,0.000672,0.47033,0.345535,bearish_outlook; economic_forecast; economic_outlook; investment_outlook; long_term_outlook
55,113,0.00436,0.150938,0.234149,0.000658,0.173451,0.418175,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
40,303,0.01169,0.056028,0.186195,0.000655,-0.242574,0.429908,asset_management_update; asset_under_management_update; assets_under_management_update; brokerage_update; brokerage_upgrade
22,281,0.010841,0.051888,0.169424,0.000563,0.49395,0.275576,ceo_appointment; executive_appointment; executive_background; executive_change; executive_commentary
47,113,0.00436,0.108425,0.176287,0.000473,0.282301,0.340803,executive_expectations_and_valuation; industry_valuation; market_valuation; stock_valuation; undervaluation
0,107,0.004128,0.114409,0.18524,0.000472,0.76729,0.163933,business_growth; cloud_services_growth; expansion_and_growth; growth_acceleration; growth_and_dividend
48,332,0.012809,0.032085,0.150748,0.000411,0.438554,0.255344,initial_public_offering; ipo_announcement; ipo_arrangement; ipo_funding; ipo_impact
42,100,0.003858,0.105214,0.210924,0.000406,-0.143,0.524072,investment_and_partnership; partnership_acquisition; partnership_and_certifications; partnership_and_competition; partnership_and_expansion
50,1618,0.062423,0.006337,0.06115,0.000396,0.877441,0.096242,adoption; award_or_recognition; award_recognition; client_adoption; conference_discussion
25,33,0.001273,0.310065,0.312562,0.000395,-0.539394,0.31998,consumer_spending_decrease; economic_downturn; housing_start_decline; industry_slowdown; market_decline
23,71,0.002739,0.139921,0.182378,0.000383,0.366197,0.426233,businessSuspension; business_delegation; business_failure; business_model; business_model_description
16,90,0.003472,0.109316,0.271742,0.00038,0.433333,0.354338,capital_increase_approval; capital_plan_approval; capital_raise_consideration; capital_return_plan; cash_reserve
24,97,0.003742,0.09789,0.21517,0.000366,0.123711,0.330814,currency_headwinds; economic_commentary; federal_reserve_announcement; federal_reserve_intervention; federal_reserve_policy
36,30,0.001157,0.279799,0.291007,0.000324,0.36,0.446915,asset_divestiture; asset_sale; buyout_interest; divestment; divesture
14,37,0.001427,0.18948,0.236623,0.00027,0.294595,0.470162,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
28,39,0.001505,0.171294,0.289148,0.000258,0.553846,0.328826,analyst_rating; brand_loyalty_ranking; customer_loyalty_ranking; guru_rating; investment_rating
52,455,0.017554,0.014288,0.103205,0.000251,0.393407,0.335255,catastrophe_loss_estimate; data_security_concerns; health_and_safety_measures; health_concerns; insurance_claims_improvement
46,67,0.002585,0.091006,0.230672,0.000235,0.6,0.34984,profit_margin_increase; profitability_outlook; reduced_profit_forecast; revenue_forecast; revenue_growth
20,39,0.001505,0.154769,0.13421,0.000233,0.592308,0.255588,adoption_expansion; benefit_expansion; business_expansion; business_model_expansion; delivery_expansion
13,23,0.000887,0.240968,0.288832,0.000214,-0.434783,0.463079,counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing; intellectual_property_dispute
49,17,0.000656,0.284194,0.267553,0.000186,-0.458824,0.42573,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
57,25,0.000965,0.192965,0.218781,0.000186,0.5,0.300666,business_restart; business_restart_plan; business_restructuring; business_resumption; business_strategy_shift
27,40,0.001543,0.115777,0.241236,0.000179,0.3,0.333167,index_composition; index_constituents; index_construction; index_inclusion; index_movement
43,18,0.000694,0.250694,0.149133,0.000174,0.416667,0.567891,economic_stimulus; government_incentives; government_initiative; government_subsidy; legislative_support
31,50,0.001929,0.077244,0.17179,0.000149,0.634,0.387613,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
5,13,0.000502,0.277169,0.222642,0.000139,0.207692,0.54273,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supply_agreement
26,14,0.00054,0.252971,0.248641,0.000137,0.05,0.430531,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
54,89,0.003434,0.038027,0.157163,0.000131,0.14382,0.227322,credit_agreement; credit_card_promotion; credit_card_switch; credit_quality_concerns; credit_rating_change
21,13,0.000502,0.246968,0.270282,0.000124,-0.253846,0.518304,advertising_pause; company_response; contract_loss; customer_loss; operations_resumption
45,13,0.000502,0.246942,0.297475,0.000124,0.284615,0.653801,fund_launch; innovation_hub_opening; new_exchange_launch; promotion_launch; spin_off_announcement
3,22,0.000849,0.138134,0.129077,0.000117,0.572727,0.426595,demand_surge; holiday_sales; holiday_sales_report; holiday_season_sales; new_purchase
19,17,0.000656,0.162835,0.238706,0.000107,0.682353,0.212091,business_recovery; economic_recovery; market_rebound; market_recovery; recovery_potential
39,724,0.027932,0.003814,0.053123,0.000107,0.103591,0.084998,labor_cost_increase; price_drop; price_movement; price_target; price_target_increase
8,13,0.000502,0.187599,0.246239,9.4e-05,-0.076923,0.605302,flexible_work_arrangements; labor_agreement; labor_contract_agreement; labor_dispute; labor_negotiations
58,34,0.001312,0.071337,0.181672,9.4e-05,0.438235,0.360567,catastrophe_loss_report; economic_data_release; fee_income_report; industry_loss_report; market_share_report
18,16,0.000617,0.124329,0.121535,7.7e-05,0.45625,0.428615,big_data_focus; cloud_competition; cloud_computing_strategy; cryptocurrency_adoption; cryptocurrency_backing
7,11,0.000424,0.168131,0.117118,7.1e-05,0.445455,0.357678,automation_adoption; digital_transformation; disruption_and_innovation; menu_innovation; technical_milestone
41,4,0.000154,0.392343,0.097117,6.1e-05,0.575,0.248747,artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
11,12,0.000463,0.129091,0.143701,6e-05,0.533333,0.46428,auction; bond_offering; contract_award; contract_ratification; contract_win
30,13,0.000502,0.109661,0.080071,5.5e-05,0.369231,0.629267,covid_19_impact; health_crisis_impact; pandemic_growth; pandemic_impact; pandemic_recovery
12,6,0.000231,0.151143,0.08481,3.5e-05,0.8,0.0,green_bond_issuance; renewable_energy_commitment; renewable_energy_initiative; sustainability_efforts; sustainability_initiative
56,4,0.000154,0.153423,0.056692,2.4e-05,0.65,0.15,bank_performance; banking_sector_stability; banking_system_support
35,2,7.7e-05,0.253295,0.253295,2e-05,0.5,0.1,licensing_agreement
44,12,0.000463,0.022904,0.032394,1.1e-05,0.425,0.129904,high_options_trading_volume; options_contract_availability; options_contract_update; options_trading; options_trading_activity
