cluster_id,fact_count,cluster_proportion,avg_attention_score,std_attention_score,weighted_attention_score,avg_sentiment,std_sentiment,sample_event_types
53,120,0.038722,0.142252,0.23791,0.005508,-0.210833,0.709788,market_analysis; market_commentary; market_fluctuation; market_impact; market_movement
34,136,0.043885,0.124452,0.244239,0.005462,0.619118,0.377787,industry_challenges; industry_concerns; industry_development; industry_group_performance; industry_outlook
59,450,0.145208,0.023053,0.134288,0.003347,-0.233778,0.159768,etf_holdings; etf_inclusion; etf_inflow; etf_launch; etf_outflow
10,26,0.00839,0.39512,0.366407,0.003315,0.603846,0.352443,analyst_comment; analyst_commentary; analyst_downgrade; analyst_expectations; analyst_insight
17,65,0.020975,0.145803,0.229109,0.003058,0.433846,0.334791,earnings_announcement; earnings_report; upcoming_earnings
2,366,0.118103,0.025107,0.13621,0.002965,0.326776,0.098868,partnership
32,222,0.071636,0.037065,0.135083,0.002655,-0.342342,0.425017,financial_analysis; growth_stock_analysis; stock_performance; stock_pick; stock_price_increase
4,184,0.059374,0.039327,0.149899,0.002335,0.533424,0.104698,investment; investment_advice; investment_analysis; investment_and_outlook; investment_announcement
6,55,0.017748,0.10923,0.289335,0.001939,0.745455,0.141187,dividend_announcement; dividend_growth; dividend_increase; dividend_update
48,276,0.089061,0.020685,0.128225,0.001842,0.532246,0.059069,ipo_announcement; ipo_funding; ipo_investment; ipo_preparation; ipo_underwriting
55,48,0.015489,0.089625,0.190772,0.001388,0.185417,0.340337,regulatory_action; regulatory_approval; regulatory_challenge; regulatory_change; regulatory_guidance
38,44,0.014198,0.088582,0.198089,0.001258,0.447727,0.239781,economic_forecast; economic_outlook; investment_outlook; market_outlook
9,133,0.042917,0.024145,0.115249,0.001036,-0.72406,0.323317,earnings_disappointment; earnings_estimate_revisions; earnings_expectation; earnings_forecast; earnings_forecast_revision
29,8,0.002581,0.398106,0.265958,0.001028,0.625,0.204634,counterfeit_product_removal; product_launch
1,9,0.002904,0.338502,0.258166,0.000983,0.3,0.253859,comparison; industry_comparison; market_comparison; operating_margin_comparison; sector_comparison
13,16,0.005163,0.159574,0.245536,0.000824,-0.65625,0.337211,counterfeiting_scheme; dispute_resolution; lawsuit; money_laundering_allegations
47,8,0.002581,0.300472,0.156912,0.000776,0.3125,0.422604,executive_expectations_and_valuation; undervaluation; valuation_comparison
46,5,0.001613,0.476833,0.433287,0.000769,0.18,0.76,profitability_outlook; reduced_profit_forecast; revenue_growth_outlook; revenue_guidance_and_dividend_increase; revenue_impact
43,7,0.002259,0.328689,0.146482,0.000742,0.485714,0.496929,government_subsidy; legislative_support; tax_credit_extension; tax_legislation
22,6,0.001936,0.348652,0.305656,0.000675,0.266667,0.512076,executive_change; executive_commentary; executive_movement; executive_statement
50,71,0.022911,0.027625,0.143909,0.000633,0.515493,0.076265,award_recognition; conference_participation; diversity_initiative; social_responsibility_recognition
40,12,0.003872,0.162493,0.182633,0.000629,0.616667,0.254406,brokerage_update; brokerage_upgrade; investment_portfolio_update; operational_update; portfolio_rebalancing
26,7,0.002259,0.276114,0.128578,0.000624,-0.2,0.453557,bond_issuance; bond_issue; bond_sale; financial_support; lending_restrictions
36,3,0.000968,0.642087,0.261622,0.000622,-0.266667,0.329983,asset_divestiture; stock_sales
51,4,0.001291,0.328471,0.387855,0.000424,0.05,0.206155,competition_risk; competitive_analysis; market_competition
37,6,0.001936,0.16825,0.147652,0.000326,0.016667,0.630916,congressional_hearing; election_influence; illicit_funds_scandal; other
39,711,0.229429,0.001406,0.037477,0.000323,0.1,0.0,price_target
15,9,0.002904,0.110157,0.125653,0.00032,0.566667,0.368179,acquisition; acquisition_approval; portfolio_acquisition; strategic_acquisitions
25,8,0.002581,0.107838,0.092827,0.000278,-0.675,0.096825,housing_start_decline; industry_slowdown; market_decline; sector_downgrade_warning; stock_price_decrease
54,4,0.001291,0.210921,0.043163,0.000272,-0.45,0.55,credit_card_promotion; credit_rating_change
45,2,0.000645,0.410297,0.106679,0.000265,0.5,0.0,new_exchange_launch
20,3,0.000968,0.217453,0.206901,0.000211,0.7,0.141421,infrastructure_build_out; investment_expansion; nft_market_expansion
7,2,0.000645,0.321785,0.001499,0.000208,0.7,0.0,technology_transition
3,2,0.000645,0.263284,0.168212,0.00017,0.5,0.0,sales Surge; sales_performance
35,21,0.006776,0.024522,0.109664,0.000166,0.6,0.0,licensing_agreement
33,5,0.001613,0.098172,0.061961,0.000158,0.66,0.12,divergence_phenomenon; sector_rotation; stress_test_results; technical_breakout; technical_indicators
58,2,0.000645,0.240643,0.178483,0.000155,0.2,0.7,economic_data_release; sales_report
16,3,0.000968,0.156409,0.091449,0.000151,0.5,0.244949,efficiency_ratio_improvement; financial_performance
49,3,0.000968,0.141209,0.107185,0.000137,-0.6,0.141421,brexit_impact; export_restrictions; trade_restrictions
31,4,0.001291,0.099023,0.037771,0.000128,0.275,0.576086,insider_buying; pre_market_trading; sell_signal; unusual_trading_volume
24,3,0.000968,0.108262,0.056588,0.000105,0.333333,0.590668,inflation_slowdown; interest_rate_hike; interest_rate_sensitive_benefits
30,4,0.001291,0.075677,0.011721,9.8e-05,0.8,0.070711,vaccine_development; vaccine_speculation; vaccine_trial_results
0,4,0.001291,0.074187,0.009543,9.6e-05,0.425,0.553963,growth_challenges; industry_growth; loan_growth; product_growth
28,3,0.000968,0.077395,0.017749,7.5e-05,0.366667,0.612826,ratings_action; stock_rating
42,2,0.000645,0.103481,0.006629,6.7e-05,0.15,0.35,partnership_expansion; partnership_loss
19,3,0.000968,0.068429,0.001464,6.6e-05,0.8,0.0,recovery; recovery_progress; stock_recovery
14,3,0.000968,0.067189,0.001345,6.5e-05,0.6,0.08165,merger; merger_approval; merger_completion
57,3,0.000968,0.064304,4e-05,6.2e-05,0.833333,0.04714,business_restart; business_restart_plan; business_resumption
12,1,0.000323,0.191815,0.0,6.2e-05,0.8,0.0,sustainability_efforts
5,2,0.000645,0.088724,0.00031,5.7e-05,0.2,0.0,supply_chain_issue
23,2,0.000645,0.086086,0.019244,5.6e-05,-0.05,0.75,business_failure; business_update
56,1,0.000323,0.073632,0.0,2.4e-05,0.8,0.0,bank_performance
8,1,0.000323,0.069715,0.0,2.2e-05,-0.5,0.0,staff_cuts
21,1,0.000323,0.065042,0.0,2.1e-05,0.9,0.0,operations_resumption
