cluster_id,num_models,total_fact_count,avg_fact_count,std_fact_count,total_sample_count,avg_sample_count,std_sample_count,avg_percentage_of_samples,std_percentage_of_samples,avg_attention_score,std_attention_score,min_attention_score,max_attention_score,attention_cv,avg_sentiment,std_sentiment,min_sentiment,max_sentiment,sentiment_cv,most_common_event_types
41,32,127,3.97,0.54,123,3.84,0.37,2.023,0.1942,0.380679,0.012056,0.349986,0.406275,0.0317,0.600156,0.046132,0.575,0.7,0.0769,artificial_intelligence_adoption; investment_in_artificial_intelligence; investment_in_ai; ai_revolution
25,32,1023,31.97,0.93,911,28.47,0.67,14.9836,0.3533,0.319254,0.00758,0.308703,0.337357,0.0237,-0.538903,0.001502,-0.540625,-0.534375,0.0028,consumer_spending_decrease; economic_downturn; industry_slowdown; market_decline; housing_start_decline
49,32,541,16.91,0.64,447,13.97,0.18,7.352,0.093,0.287584,0.008885,0.270168,0.314725,0.0309,-0.4508,0.016459,-0.458824,-0.411111,0.0365,brexit_impact; export_restrictions; geopolitical_event; geopolitical_risk; geopolitical_tensions
36,32,959,29.97,2.22,746,23.31,1.55,12.2697,0.818,0.285067,0.015096,0.259468,0.319083,0.053,0.286891,0.046514,0.17,0.3625,0.1621,asset_divestiture; asset_sale; divestment; divesture; buyout_interest
5,32,430,13.44,0.95,386,12.06,0.67,6.3487,0.3521,0.274694,0.014347,0.253979,0.303924,0.0522,0.151857,0.0366,0.078571,0.207692,0.241,demand_supply_mismatch; production_challenges; production_milestone; production_miss; supply_agreement
45,32,369,11.53,0.72,209,6.53,0.72,3.4375,0.3777,0.271393,0.012996,0.24548,0.303497,0.0479,0.251151,0.02436,0.18,0.307692,0.097,innovation_hub_opening; new_exchange_launch; promotion_launch; spin_off_announcement; fund_launch
43,32,546,17.06,1.19,308,9.62,0.83,5.0658,0.4383,0.262908,0.011022,0.247782,0.287612,0.0419,0.519157,0.067524,0.416667,0.582353,0.1301,government_incentives; government_initiative; government_subsidy; economic_stimulus; legislative_support
21,32,441,13.78,1.26,377,11.78,1.26,6.2007,0.6649,0.248333,0.01442,0.222874,0.271259,0.0581,-0.282388,0.031511,-0.33125,-0.233333,0.1116,advertising_pause; company_response; contract_loss; customer_loss; operations_resumption
26,32,487,15.22,1.34,395,12.34,1.21,6.4967,0.6357,0.239954,0.015092,0.215167,0.270559,0.0629,0.054629,0.044259,-0.04375,0.138462,0.8102,bankruptcy; bond_issuance; bond_issue; bond_sale; debt_analysis
13,32,865,27.03,3.35,443,13.84,0.92,7.2862,0.484,0.221996,0.018847,0.191127,0.265755,0.0849,-0.447646,0.047325,-0.531034,-0.3,0.1057,counterfeiting_scheme; court_ruling; dispute_resolution; human_rights_hearing; antitrust_investigation_closure
8,32,374,11.69,0.86,160,5.0,0.62,2.6316,0.3275,0.19876,0.0088,0.182836,0.218525,0.0443,-0.100606,0.059789,-0.21,0.015385,0.5943,flexible_work_arrangements; labor_agreement; labor_dispute; labor_negotiations; labor_contract_agreement
38,32,2977,93.03,4.73,1547,48.34,1.81,25.4441,0.951,0.18905,0.007798,0.164831,0.196303,0.0412,0.482629,0.01095,0.46413,0.506542,0.0227,economic_forecast; economic_outlook; investment_outlook; long_term_outlook; bearish_outlook
14,32,1211,37.84,1.59,765,23.91,1.33,12.5822,0.6993,0.187458,0.005308,0.17812,0.202975,0.0283,0.302069,0.018667,0.268421,0.335897,0.0618,acquisition_rumor; company_breakup; company_controversy; divestiture; acquisition_rumors
57,32,867,27.09,1.23,740,23.12,1.04,12.1711,0.5471,0.184117,0.006007,0.170019,0.197578,0.0326,0.477611,0.02176,0.446154,0.531034,0.0456,business_restart; business_restart_plan; business_restructuring; business_resumption; business_strategy_shift
28,32,1219,38.09,2.26,732,22.88,1.93,12.0395,1.0159,0.172676,0.00567,0.164659,0.185625,0.0328,0.577577,0.015634,0.541667,0.6075,0.0271,analyst_rating; guru_rating; investment_rating; customer_loyalty_ranking; neutral_rating
55,32,3314,103.56,10.65,1239,38.72,1.55,20.3783,0.8157,0.169539,0.017673,0.1483,0.199014,0.1042,0.192859,0.043198,0.12973,0.267021,0.224,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
31,32,763,23.84,6.68,608,19.0,0.76,10.0,0.4011,0.167427,0.023938,0.077244,0.185955,0.143,0.450572,0.050321,0.404762,0.635417,0.1117,after_hours_trading; bullish_trade; insider_buying; oversold_condition; pre_market_trading
20,32,1161,36.28,2.02,992,31.0,1.22,16.3158,0.6411,0.160808,0.005177,0.151988,0.170413,0.0322,0.577959,0.009171,0.555556,0.595,0.0159,adoption_expansion; benefit_expansion; business_expansion; delivery_expansion; business_model_expansion
56,32,132,4.12,1.18,50,1.56,0.5,0.8224,0.2653,0.158461,0.019551,0.114808,0.188489,0.1234,0.628032,0.046772,0.442857,0.68,0.0745,banking_sector_stability; banking_system_support; bank_performance; banking_sector_update; banking_sector_turnaround
12,32,200,6.25,1.14,185,5.78,1.01,3.0428,0.5303,0.156318,0.016544,0.136635,0.203873,0.1058,0.601027,0.151691,0.433333,0.8,0.2524,green_bond_issuance; renewable_energy_initiative; sustainability_efforts; climate_risk_disclosure; sustainability_initiative
19,32,615,19.22,1.04,451,14.09,0.93,7.4178,0.4886,0.154106,0.004521,0.146917,0.165198,0.0293,0.679367,0.009335,0.655,0.694737,0.0137,business_recovery; economic_recovery; market_rebound; market_recovery; recovery
7,32,416,13.0,0.92,412,12.88,0.87,6.7763,0.4582,0.152959,0.006218,0.140876,0.168131,0.0407,0.485722,0.021944,0.445455,0.528571,0.0452,automation_adoption; digital_transformation; disruption_and_innovation; menu_innovation; technical_milestone
29,32,6192,193.5,9.5,2308,72.12,1.93,37.9605,1.0159,0.149269,0.006935,0.139507,0.15848,0.0465,0.718165,0.007008,0.705288,0.729213,0.0098,brand_performance; brand_recognition; counterfeit_product_removal; product_adoption; product_demand
35,32,344,10.75,10.08,64,2.0,0.0,1.0526,0.0,0.149231,0.113236,0.022565,0.258997,0.7588,0.539773,0.04582,0.5,0.590909,0.0849,licensing_agreement
27,32,1120,35.0,8.79,260,8.12,0.34,4.2763,0.1768,0.143956,0.059111,0.112962,0.267698,0.4106,0.34853,0.102639,0.3,0.558824,0.2945,index_composition; index_construction; index_inclusion; index_movement; market_index_movement
11,32,363,11.34,0.79,299,9.34,0.79,4.9178,0.4144,0.135821,0.00817,0.123594,0.15384,0.0602,0.51181,0.021245,0.463636,0.533333,0.0415,auction; bond_offering; contract_ratification; deal_cancellation; contract_award
3,32,733,22.91,1.25,476,14.88,0.66,7.8289,0.3473,0.132955,0.003922,0.125949,0.138918,0.0295,0.577942,0.010608,0.561905,0.615385,0.0184,demand_surge; holiday_sales; holiday_sales_report; holiday_season_sales; new_purchase
0,32,3082,96.31,12.49,1855,57.97,3.17,30.5099,1.667,0.12693,0.015156,0.111961,0.152181,0.1194,0.764878,0.005817,0.752597,0.774286,0.0076,business_growth; growth_acceleration; growth_and_dividend; customer_growth; cloud_services_growth
30,32,406,12.69,0.74,233,7.28,0.58,3.8322,0.3059,0.11859,0.005437,0.105657,0.13057,0.0458,0.353594,0.024141,0.3,0.392857,0.0683,covid_19_impact; health_crisis_impact; pandemic_impact; pandemic_recovery; pandemic_growth
23,32,2941,91.91,23.24,1493,46.66,1.66,24.5559,0.8726,0.118389,0.026377,0.08355,0.144706,0.2228,0.252331,0.168187,0.020339,0.394805,0.6665,businessSuspension; business_delegation; business_failure; business_model; business_model_analysis
