cluster_id,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_facts,sample_count,avg_facts_per_sample,negative_attention_rank,positive_attention_rank,sample_event_types
27,0.790066,0.01245,0.1,0.0,32,862,0.04,22,1,index_composition
8,0.677662,0.442245,-0.304082,0.443529,49,851,0.06,15,14,labor_dispute; staff_cuts
39,0.572976,0.464888,0.420339,0.348741,59,844,0.07,24,57,price_target; price_target_raise
11,0.562345,0.003269,0.5,0.0,32,861,0.04,27,2,potential_sale
45,0.545594,0.010654,0.8,0.0,32,857,0.04,11,7,promotion_launch
16,0.492808,0.400144,0.377401,0.316671,177,854,0.21,34,16,efficiency_ratio_improvement; expense_ratio_reduction; financial_performance; funding_round
13,0.430803,0.367511,-0.257576,0.476751,132,858,0.15,10,22,counterfeiting_scheme; dispute_resolution; lawsuit; legal_dispute; patent_infringement_lawsuit
22,0.353626,0.322298,0.4,0.288675,384,861,0.45,52,9,executive_background; executive_change; executive_movement; executive_turnaround; leadership_change
26,0.340275,0.138602,0.159292,0.362303,113,863,0.13,12,11,bond_issuance; bond_issue; bond_sale; hedge_fund_default; lending_restrictions
51,0.334124,0.372511,0.136427,0.335862,431,858,0.5,39,5,competition; competition_expansion; competition_risk; competitive_advantage; competitive_analysis
42,0.310051,0.330341,0.236364,0.277235,176,858,0.21,37,19,investment_and_partnership; partnership_and_competition; partnership_expansion; partnership_loss; unsubstantiated_partnership_rumor
29,0.295168,0.225617,0.640211,0.196492,807,861,0.94,25,8,counterfeit_product_removal; product_adoption; product_development; product_launch
49,0.294393,0.180076,-0.316667,0.380424,192,861,0.22,3,31,brexit_impact; export_restrictions; geopolitical_event; trade_restrictions; trade_tensions
54,0.286088,0.003888,0.5,0.0,32,863,0.04,57,21,credit_card_promotion
25,0.275347,0.363941,-0.75,0.05,128,856,0.15,2,29,market_decline; sector_downgrade_warning; stock_price_decrease
43,0.261344,0.145741,0.518428,0.414358,369,861,0.43,9,15,government_incentive; government_incentives; government_initiative; government_subsidy; legislation_passage
32,0.258118,0.287075,0.626797,0.445096,1127,864,1.3,46,51,financial_analysis; growth_stock_analysis; portfolio_performance; stock_comparison; stock_evaluation
7,0.25534,0.098858,0.745299,0.049779,117,864,0.14,26,10,digital_transformation; technology_adoption; technology_transition
14,0.23914,0.341375,0.433333,0.339935,192,859,0.22,14,48,merger; merger_approval; merger_comparison; merger_completion; potential_buyout
30,0.219171,0.127496,0.47156,0.325405,109,864,0.13,23,47,pandemic_growth; pandemic_impact; pandemic_turnaround
