Date,Ticker,Real_Label,Misclassification_Type,Times_Correctly_Identified,Times_Misclassified,Mean_Attention_Entropy,Fact_Count,Unique_Clusters,Normalized_Entropy
2022-03-31,ACGL,1,FN,0,32,2.471594,72,9,0.577925
2018-12-31,EBAY,1,FN,0,32,2.742484,133,12,0.560795
2022-09-30,MA,1,FN,0,32,2.872389,41,15,0.773484
2019-12-31,AMZN,1,FN,0,32,3.097771,157,13,0.612662
2018-09-30,TSLA,1,FN,0,32,2.653098,64,16,0.637935
2017-09-30,PGR,1,FN,0,32,2.892508,57,10,0.715427
2016-03-31,AMZN,1,FN,0,32,2.98876,96,10,0.654805
2015-12-31,CMG,1,FN,0,32,2.939866,141,14,0.594061
2023-06-30,BRO,1,FN,0,32,2.355805,48,13,0.608546
2022-09-30,ACGL,1,FN,0,32,2.591628,91,7,0.574531
2019-03-31,CME,1,FN,0,32,2.511165,61,16,0.610859
2023-03-31,CTSH,1,FN,0,32,2.358018,35,12,0.663231
2017-03-31,AAPL,1,FN,0,32,3.119648,249,15,0.565415
2019-12-31,EBAY,1,FN,0,32,2.703199,82,13,0.613427
2017-12-31,MSFT,1,FN,0,32,2.904681,224,11,0.536746
2019-12-31,MSFT,1,FN,0,32,2.870253,150,12,0.572832
2023-09-30,C,1,FN,0,32,3.106836,178,13,0.599569
2020-09-30,BK,0,FP,0,32,2.764879,53,11,0.696392
2021-12-31,BX,1,FN,0,32,2.758582,94,15,0.607177
2018-06-30,FTNT,1,FN,0,32,2.51349,58,9,0.619019
2023-12-31,BRO,1,FN,0,32,2.953744,76,9,0.682042
2022-03-31,TXN,1,FN,0,32,2.987377,40,10,0.809833
2020-09-30,ADI,1,FN,0,32,2.054402,35,8,0.577834
2022-12-31,TSLA,1,FN,0,32,2.962624,267,15,0.530247
2023-12-31,CMG,1,FN,0,32,2.930924,141,10,0.592254
2023-06-30,AMZN,1,FN,0,32,3.160691,1673,13,0.425833
2017-12-31,AFL,1,FN,0,32,2.213778,45,11,0.581554
2021-12-31,EXPE,1,FN,0,32,2.689969,55,11,0.671262
2020-09-30,SBUX,1,FN,1,31,2.535721,40,12,0.687396
2021-06-30,JPM,0,FP,2,30,2.816107,193,12,0.535108
2021-03-31,JPM,1,FN,2,30,2.980901,136,12,0.60678
2022-09-30,INTC,1,FN,2,30,3.095035,461,12,0.50462
2017-12-31,LRCX,0,FP,2,30,2.902342,69,13,0.685467
2020-09-30,HPQ,1,FN,4,28,2.561365,41,11,0.689731
2020-03-31,QCOM,0,FP,4,28,3.068347,45,13,0.806047
2023-09-30,DPZ,0,FP,5,27,2.838201,183,13,0.544814
2022-09-30,GM,0,FP,5,27,2.877043,44,14,0.76028
2018-03-31,AMD,1,FN,6,26,2.979156,316,15,0.517597
2022-09-30,EBAY,1,FN,16,16,2.588198,86,17,0.58105
2023-03-31,AMAT,1,FN,16,16,2.81972,99,13,0.613634
2023-09-30,MSFT,1,FN,19,13,3.170289,1122,11,0.451424
2022-09-30,WFC,0,FP,23,9,2.792851,97,14,0.610498
2020-12-31,QCOM,0,FP,24,8,2.982743,60,12,0.728503
2023-03-31,NVDA,1,FN,25,7,3.084085,361,12,0.523714
2020-12-31,DHI,0,FP,28,4,2.425602,39,12,0.662088
2022-09-30,F,1,FN,29,3,2.747274,57,13,0.679505
