cluster_id,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_facts,sample_count,avg_facts_per_sample,negative_attention_rank,positive_attention_rank,sample_event_types
36,0.537896,0.018133,-0.5,0.0,32,32,1.0,6,4,stock_sales
40,0.425886,0.021933,0.2,0.0,32,32,1.0,48,20,portfolio_rebalancing
16,0.285583,0.018736,0.5,0.0,32,32,1.0,34,16,financial_performance
17,0.235071,0.225566,0.557303,0.117929,89,32,2.78,49,27,earnings_announcement
6,0.133872,0.00631,0.5,0.0,32,32,1.0,41,28,dividend_update
22,0.10912,0.032498,0.26,0.72,50,32,1.56,52,9,executive_change; executive_statement
53,0.06793,0.003394,-0.8,0.0,24,32,0.75,55,30,market_volatility
25,0.067129,0.002641,-0.6625,0.048412,48,32,1.5,2,29,market_decline; stock_price_decrease
13,0.066311,0.001532,-0.794754,0.022295,305,32,9.53,10,22,lawsuit; money_laundering_allegations
32,0.06607,0.001529,0.8,0.0,21,31,0.68,46,51,stock_recommendation
37,0.06604,0.00109,-0.8,0.0,26,32,0.81,50,23,illicit_funds_scandal
47,0.065943,0.00145,0.694737,0.099861,38,31,1.23,35,13,valuation_analysis; valuation_update
10,0.06583,0.001545,0.5,0.0,18,28,0.64,51,34,analyst_target_price_update
39,0.065626,0.001711,0.6,0.0,21,31,0.68,24,57,target_price_increase
55,0.021338,0.112923,0.2,0.0,928,32,29.0,7,43,regulatory_update
