cluster_id,avg_attention_score,std_attention_score,avg_sentiment,std_sentiment,total_facts,sample_count,avg_facts_per_sample,negative_attention_rank,positive_attention_rank,sample_event_types
41,0.379684,0.11014,0.59685,0.240713,127,4093,0.03,1,N/A,ai_revolution; artificial_intelligence_adoption; investment_in_ai; investment_in_artificial_intelligence
5,0.343375,0.231474,0.050836,0.599072,299,4071,0.07,4,39,demand_supply_mismatch; production_challenges; production_miss; supplier_change; supply_agreement
25,0.300963,0.267578,-0.504783,0.340896,669,4094,0.16,2,29,economic_downturn; market_decline; market_plunge; pc_shipments_decline; poor_box_office_performance
38,0.297267,0.246813,0.479032,0.393336,1178,4096,0.29,8,32,economic_forecast; economic_outlook; investment_outlook; market_cap_projection; market_forecast
55,0.28004,0.261118,0.267197,0.485825,942,4089,0.23,7,43,regulatory_action; regulatory_announcement; regulatory_approval; regulatory_call; regulatory_challenge
43,0.279197,0.181896,0.413333,0.671185,120,4089,0.03,9,15,meeting_with_government; tax_credit_extension; tax_legislation; tax_legislation_impact; tax_reform_impact
21,0.250112,0.32688,-0.181106,0.459074,217,4085,0.05,5,49,business_setback; company_response; contract_loss; customer_loss; outage_impact_on_clients
46,0.215949,0.20983,0.408123,0.491856,357,4096,0.09,44,3,profitability_outlook; revenue_forecast; revenue_growth; revenue_growth_opportunities; revenue_growth_outlook
49,0.21127,0.224357,-0.530175,0.46355,285,4087,0.07,3,31,brexit_preparations; geopolitical_risk; geopolitical_tensions; tariff_impact; trade_restrictions
45,0.207297,0.330805,0.130403,0.757956,273,4086,0.07,11,7,fund_launch; innovation_hub_opening; menu_launch; new_exchange_launch; spin_off_announcement
13,0.204659,0.184772,-0.246212,0.520209,396,4075,0.1,10,22,antitrust_investigation_closure; court_ruling; human_rights_hearing; intellectual_property_dispute; lawsuit
36,0.204656,0.161565,0.377193,0.427977,627,4078,0.15,6,4,asset_sale; buyout_interest; divestment; divesture; equity_underwriting_fees
14,0.200995,0.2168,0.223491,0.490874,762,4085,0.19,14,48,acquisition_rumor; acquisition_rumors; company_breakup; company_controversy; divestiture
26,0.198927,0.295192,0.193617,0.421196,282,4073,0.07,12,11,bankruptcy; debt_analysis; debt_offering; debt_origination_record; debt_refinancing
47,0.184373,0.194689,0.434307,0.418695,924,4095,0.23,35,13,market_valuation; stock_valuation; undervaluation; undervaluation_analysis; valuation
31,0.183875,0.250139,0.470557,0.50242,574,4088,0.14,16,38,after_hours_trading; bullish_trade; insider_buying; oversold_condition; record_trading_volume
12,0.18259,0.092616,0.423276,0.499199,116,4046,0.03,20,26,climate_risk_disclosure; green_bond_issuance; renewable_energy_initiative; renewable_energy_trend
42,0.176941,0.240338,0.393237,0.456828,1109,4094,0.27,37,19,investment_and_partnership; partnership_acquisition; partnership_and_certifications; partnership_and_competition; partnership_and_expansion
56,0.165968,0.050817,0.598246,0.162752,114,4082,0.03,18,46,banking_sector_stability; banking_sector_stabilization; banking_sector_turnaround; banking_sector_update; banking_system_support
